FRAME	XCENTER	YCENTER	BRIGHTNESS	BERR	MSKY	NITER	SHARP	CHI	ERR	
0	365.410	59.715	1298.9726289	0.94710907947	102.9878	4	-1.226	0.901	0	
0	818.239	143.477	1106.62378398	0.950604793656	110.5549	4	-0.949	0.716	0	
0	431.164	151.199	1109.68572677	0.949729657362	109.0988	4	-0.676	0.737	0	
0	858.612	225.963	1371.51322594	0.964717151896	110.663	4	0.349	0.588	0	
0	82.080	242.874	1105.60501504	0.962941712972	102.336	4	-0.355	0.525	0	
0	54.294	270.769	1021.40975199	0.953235043921	105.6438	4	-0.941	0.630	0	
0	51.719	278.079	981.74794302	0.947981801011	105.0017	4	-0.711	0.690	0	
0	56.574	305.136	1135.53362784	0.960284679209	106.9415	4	-0.500	0.586	0	
0	1230.019	321.747	1050.99342719	0.954113410282	115.4872	4	-0.233	0.617	0	
0	94.963	323.953	1195.63879999	0.958517397686	108.7368	4	0.178	0.629	0	
0	974.091	343.595	1265.9017493	0.963829023624	115.3512	4	-0.293	0.568	0	
0	63.256	371.632	1222.36244928	0.963829023624	107.1697	4	-0.293	0.560	0	
0	284.730	485.242	1071.51930524	0.945366045958	119.2441	4	-0.242	0.761	0	
0	573.155	514.990	969.170083947	0.947981801011	114.4968	4	-0.471	0.654	0	
0	640.663	578.462	1122.0184543	0.951480736352	115.0989	4	-0.334	0.698	0	
0	427.974	794.993	1249.68339721	0.960284679209	123.2003	4	-0.517	0.587	0	
0	366.091	834.208	1038.48445501	0.950604793656	125.7849	4	-0.223	0.614	0	
0	271.147	925.568	1671.8603572	0.959400631516	122.1179	4	0.688	0.805	0	
0	830.676	996.523	1039.44137515	0.946237161366	131.611	4	0.145	0.689	0	
0	121.584	9.444	6798.29490455	0.970957006529	94.97237	5	0.498	1.775	0	
0	345.498	48.258	1320.68729515	0.966495864314	99.23245	5	-0.426	0.560	0	
0	467.561	161.591	1487.30487005	0.969170083947	104.3635	5	-0.072	0.562	0	
0	539.531	177.200	840.233513908	0.932395137541	101.4429	5	-1.318	0.809	0	
0	803.051	187.872	1131.35786412	0.956753368618	111.9285	5	-0.665	0.618	0	
0	811.050	210.779	1728.22387295	0.976337566583	112.0724	5	-0.067	0.464	0	
0	39.603	257.157	1251.98752062	0.962055219186	102.8396	5	-0.589	0.599	0	
0	1012.899	344.937	1389.31268174	0.954992586021	121.6347	5	0.872	0.773	0	
0	86.312	349.062	938.425931237	0.942757508527	110.4698	5	-0.451	0.711	0	
0	657.092	354.404	1096.47819614	0.962941712972	110.5563	5	0.132	0.500	0	
0	606.985	459.422	4176.37992951	0.949729657362	113.2546	5	0.483	1.573	0	
0	602.584	463.646	1458.81426028	0.75578801368	113.7312	5	-0.027	1.532	0	
0	111.898	656.711	1054.87257132	0.939290651618	110.5773	5	-1.105	0.861	0	
0	405.279	795.153	1770.10895832	0.958517397686	123.2937	5	0.253	0.872	0	
0	434.105	802.316	1889.73105443	0.945366045958	122.8775	5	0.120	1.224	0	
0	362.835	65.284	1737.80082875	0.953235043921	102.6807	6	-1.214	0.983	0	
0	363.103	837.855	850.354472	0.927256742581	126.0554	6	-0.929	0.739	0	
0	612.960	459.312	1632.30007282	0.917064749115	112.5497	7	0.041	1.300	0	
0	605.421	462.719	4781.89460666	0.952357486192	113.4061	7	1.044	1.425	0	
0	601.698	466.145	3031.09815358	0.949729657362	114.4433	7	0.581	1.191	0	
0	616.685	465.754	1586.35360548	0.906149802232	112.0412	8	0.707	1.085	0	
0	617.881	468.969	1434.82851823	0.91453430312	113.0741	8	0.532	0.928	0	
0	614.648	462.998	1595.14438693	0.92299638484	112.9589	10	0.792	1.086	0	
0	609.842	466.178	2161.72278434	0.913692373681	114.105	15	1.931	1.455	0	
0	611.707	469.939	1993.4254565	0.901986422074	114.0565	17	2.134	1.709	0	
