FRAME	XCENTER	YCENTER	BRIGHTNESS	BERR	MSKY	NITER	SHARP	CHI	ERR	
0	336.082	29.491	2997.78167158	0.972747223777	170.3156	4	-0.061	0.750	0	
0	829.864	40.314	1496.92485676	0.952357486192	172.3826	4	0.620	0.746	0	
0	346.112	41.992	7599.76214361	0.98174794302	176.7658	4	-0.201	0.972	0	
0	366.174	43.148	6950.24317589	0.98446436398	186.8568	4	-0.124	0.765	0	
0	370.152	45.495	5691.14957629	0.979039017448	183.5507	4	-0.260	0.865	0	
0	376.038	53.221	6924.68464323	0.98265258283	188.2486	4	-0.264	0.791	0	
0	1190.999	63.270	6327.03154867	0.97543874044	168.8391	4	0.592	1.214	0	
0	57.350	74.313	3229.9812406	0.978137704323	167.3448	4	0.194	0.651	0	
0	1189.440	90.043	7585.77575029	0.988097953941	173.6991	4	-0.014	0.620	0	
0	1091.499	94.188	5440.01378247	0.970957006529	172.002	4	0.719	1.334	0	
0	362.975	99.628	6205.83179299	0.98174794302	186.7052	4	-0.253	0.875	0	
0	407.291	106.763	2091.22133016	0.960284679209	184.2077	4	0.066	0.675	0	
0	401.025	107.328	1411.23714841	0.940156168804	187.4331	4	0.828	0.745	0	
0	410.154	109.792	1650.44098565	0.94710907947	180.952	4	-0.509	0.722	0	
0	394.778	110.555	1116.86324778	0.942757508527	198.1173	4	0.484	0.534	0	
0	399.528	111.492	1150.27054779	0.925550244763	194.5907	4	0.520	0.724	0	
0	414.285	113.997	1255.45167369	0.938425931237	176.8936	4	-0.129	0.651	0	
0	403.672	117.347	3271.89983623	0.962055219186	205.4182	4	0.256	0.685	0	
0	401.355	120.263	1319.4714572	0.923846887538	229.3112	4	0.229	0.654	0	
0	391.213	114.072	1819.70085861	0.912851219331	199.8798	4	0.219	0.428	0	
0	388.838	114.848	1693.55770869	0.871766146602	196.9839	4	0.225	0.514	0	
0	396.062	114.994	1845.01541918	0.94710907947	206.5161	4	0.343	0.560	0	
0	392.435	117.545	3661.00228547	0.953235043921	200.9926	4	0.072	0.509	0	
0	397.998	117.928	1946.25615936	0.931536765239	219.92	4	0.222	0.511	0	
0	418.235	115.693	4875.28490103	0.979941161096	174.8833	4	-0.050	0.678	0	
0	418.199	120.461	1766.85129845	0.94710907947	182.0611	4	0.278	0.698	0	
0	407.170	122.917	3067.60897692	0.924698173938	233.9841	4	-0.035	0.732	0	
0	396.439	124.008	2263.60164045	0.849571627156	216.5066	4	0.129	0.616	0	
0	389.609	117.709	4596.21144666	0.952357486192	199.442	4	0.129	0.529	0	
0	391.670	121.286	3454.61774906	0.904482149048	205.5942	4	0.108	0.602	0	
0	393.169	123.255	2427.72784768	0.858222705054	205.5963	4	0.098	0.617	0	
0	390.784	124.101	2873.42588667	0.909494338555	199.3698	4	0.157	0.595	0	
0	422.657	117.902	1291.814039	0.89536476555	176.0346	4	0.089	0.756	0	
0	422.085	121.046	4438.12980308	0.955872571885	179.7488	4	0.157	0.729	0	
0	420.936	127.962	3457.80103532	0.955872571885	191.4	4	0.309	0.816	0	
0	392.684	127.150	3308.26278856	0.964717151896	201.2206	4	0.179	0.647	0	
0	420.975	131.708	1818.02562377	0.766302072274	211.075	4	0.095	0.638	0	
0	30.866	109.319	626.325364758	0.903649473722	173.8023	4	-1.487	0.689	0	
0	34.215	113.224	4257.94453583	0.977237220956	173.4043	4	-0.398	0.828	0	
0	746.941	109.904	3084.60813776	0.976337566583	175.2364	4	0.205	0.666	0	
0	52.655	110.795	5490.34961025	0.98265258283	171.3479	4	0.060	0.754	0	
0	897.075	133.924	5576.99172376	0.98174794302	171.0983	4	-0.007	0.827	0	
0	1106.706	135.883	4003.13282178	0.983558056227	174.7805	4	-0.018	0.550	0	
0	824.951	147.607	7033.96171216	0.983558056227	194.0138	4	-0.241	0.847	0	
0	7.796	148.062	1185.76874817	0.953235043921	171.4408	4	-0.634	0.593	0	
0	458.960	158.928	4843.95388548	0.97185170294	185.7408	4	-0.657	1.137	0	
0	788.257	163.439	2696.49736354	0.932395137541	195.824	4	-0.532	0.801	0	
0	465.842	164.173	5445.02652842	0.983558056227	184.0558	4	-0.113	0.667	0	
0	755.687	167.840	1685.77651783	0.934114255736	178.3542	4	0.491	0.680	0	
0	811.530	166.593	683.596766838	0.894540483779	205.8424	4	-2.105	0.780	0	
0	794.138	171.710	1250.83492837	0.930679183163	205.4453	4	-1.643	0.850	0	
0	540.034	176.719	965.606098542	0.940156168804	172.6632	4	-0.866	0.630	0	
0	423.874	181.231	2876.07362886	0.976337566583	195.4014	4	-0.231	0.588	0	
0	782.284	187.733	3694.87712254	0.980844136031	182.6811	4	-0.068	0.577	0	
0	1171.972	182.503	6492.32123143	0.987188301068	177.0496	4	0.051	0.622	0	
0	1171.171	187.574	1324.34153519	0.955872571885	177.6704	4	0.327	0.571	0	
0	1246.950	190.808	7197.80372803	0.983558056227	184.164	4	0.020	0.804	0	
0	441.167	192.847	6274.80161998	0.98265258283	197.4628	4	-0.294	0.791	0	
0	79.405	195.482	2108.62814993	0.967386449969	174.3243	4	-0.383	0.677	0	
0	433.741	201.430	1479.10838817	0.953235043921	195.0918	4	-0.630	0.648	0	
0	1144.547	205.527	6937.45213942	0.986279485631	185.0748	4	-0.048	0.657	0	
0	473.241	203.144	6867.52106149	0.98174794302	186.4572	4	-0.079	0.845	0	
0	440.415	208.053	4450.4097665	0.97543874044	197.7868	4	0.061	0.859	0	
0	65.090	217.271	5775.63846395	0.980844136031	182.2819	4	0.193	0.777	0	
0	1249.557	217.448	4888.77443894	0.983558056227	188.5836	4	-0.087	0.614	0	
0	1278.716	223.161	1995.26231497	0.979039017448	171.2627	4	0.177	0.376	0	
0	100.415	226.893	4172.53511232	0.980844136031	182.0606	4	-0.331	0.677	0	
0	59.399	228.768	3973.74505061	0.97543874044	183.5088	4	-0.565	0.800	0	
0	866.036	230.837	3908.40895792	0.967386449969	186.4181	4	0.667	1.116	0	
0	117.232	242.879	908.657048958	0.912851219331	182.769	4	-1.581	0.863	0	
0	114.912	247.002	1863.80297235	0.962055219186	183.2626	4	-0.544	0.688	0	
0	117.511	253.893	2261.51774611	0.960284679209	182.1754	4	-0.679	0.878	0	
0	854.126	252.862	6397.34835483	0.983558056227	184.9568	4	-0.218	0.785	0	
0	844.666	262.470	4742.4198526	0.976337566583	181.8359	4	0.505	0.875	0	
0	1223.798	264.836	1910.73298104	0.944495732508	192.9209	4	-0.365	0.820	0	
0	1296.771	266.939	2030.48600272	0.960284679209	181.5039	4	-0.841	0.792	0	
0	1286.733	278.836	6963.05779603	0.98265258283	188.5612	4	-0.260	0.901	0	
0	912.119	288.166	7351.90692072	0.989008445021	186.2663	4	-0.082	0.578	0	
0	127.743	289.757	3525.33181196	0.98174794302	178.85	4	-0.241	0.540	0	
0	47.915	290.231	3784.42584717	0.980844136031	189.8662	4	-0.011	0.591	0	
0	1334.984	290.906	979.941161096	0.941889596523	175.4594	4	-0.644	0.621	0	
0	936.097	292.521	7251.03497617	0.979039017448	199.2003	4	-0.541	1.079	0	
0	941.761	293.003	6810.82936768	0.97185170294	203.0432	4	-0.762	1.394	0	
0	931.620	300.461	7870.45789695	0.976337566583	200.321	4	-0.674	1.203	0	
0	968.438	302.257	7819.87840389	0.977237220956	204.	4	-0.629	1.257	0	
0	962.074	306.988	6321.20682005	0.968277856261	208.4987	4	-0.851	1.511	0	
0	986.867	303.397	4051.35220229	0.961169541516	201.268	4	-0.930	1.356	0	
0	130.607	305.987	5316.18395074	0.979941161096	182.4137	4	-0.325	0.832	0	
0	951.221	307.724	1000.92145832	0.890430443594	207.7064	4	-2.369	1.060	0	
0	120.710	308.509	6576.57837355	0.980844136031	188.4473	4	-0.444	0.909	0	
0	85.426	309.805	4454.5106336	0.986279485631	195.5195	4	-0.034	0.476	0	
0	41.394	310.814	2072.04889776	0.961169541516	189.5544	4	-0.521	0.786	0	
0	1194.895	318.797	7855.97332261	0.985371506859	193.6728	4	-0.329	0.821	0	
0	1033.492	360.309	955.872571885	0.848789503007	220.001	4	-2.196	1.281	0	
0	127.458	320.304	4036.45392968	0.97185170294	191.9935	4	-0.515	0.889	0	
0	980.487	322.138	3901.21602953	0.967386449969	211.1009	4	-0.858	1.079	0	
0	972.615	323.574	1357.68806414	0.916220490122	213.4167	4	-1.931	1.147	0	
0	117.260	326.034	5306.40019195	0.972747223777	201.9694	4	-0.394	1.119	0	
0	62.377	326.426	958.517397686	0.922146665124	192.2499	4	-0.137	0.715	0	
0	66.202	329.486	4207.26628384	0.948855326728	197.0528	4	0.007	0.629	0	
0	71.822	330.705	3694.87712254	0.962941712972	205.3053	4	-0.117	0.555	0	
0	65.146	335.333	4475.07172048	0.962941712972	196.7777	4	-0.017	0.708	0	
0	74.702	332.213	1479.10838817	0.926403100736	213.3021	4	0.201	0.497	0	
0	78.097	330.923	750.930942454	0.896189806862	211.9504	4	0.200	0.615	0	
0	65.852	338.246	2412.12605609	0.941022483527	198.0392	4	-0.299	0.659	0	
0	71.323	339.365	1212.27179254	0.807606861329	211.2232	4	-0.239	0.774	0	
0	84.100	330.435	3973.74505061	0.945366045958	208.496	4	-0.059	0.592	0	
0	83.949	333.968	4006.82154182	0.945366045958	210.1123	4	0.002	0.532	0	
0	80.990	343.996	757.879220916	0.904482149048	225.0448	4	-1.118	0.671	0	
0	86.541	330.985	3883.29157005	0.942757508527	206.364	4	-0.004	0.637	0	
0	86.125	335.079	4184.08019567	0.946237161366	208.5193	4	0.017	0.573	0	
