FRAME	XCENTER	YCENTER	BRIGHTNESS	BERR	MSKY	NITER	SHARP	CHI	ERR	
0	352.140	27.186	5142.80431949	0.960284679209	101.4583	4	-1.343	1.986	0	
0	1093.032	49.356	2731.49242209	0.921297727669	94.34492	4	0.654	0.967	0	
0	1195.440	69.573	5410.03406863	0.917909786057	96.31807	4	-0.484	1.646	0	
0	1197.212	71.659	4660.15111702	0.912851219331	95.91728	4	-0.896	1.480	0	
0	792.100	85.444	2284.54648855	0.947981801011	107.1543	4	-1.558	1.401	0	
0	13.439	87.549	3826.48486595	0.974540741766	107.8657	4	-0.205	0.992	0	
0	1219.836	145.811	979.039017448	0.938425931237	120.0393	4	-0.650	0.766	0	
0	808.906	167.460	11096.8572677	0.962941712972	162.0757	4	-0.687	2.837	0	
0	842.512	181.739	1567.4727518	0.941022483527	155.084	4	0.266	0.997	0	
0	21.107	191.670	18063.4208317	0.970957006529	107.8678	4	-1.120	3.121	0	
0	68.951	209.208	1425.6075936	0.948855326728	114.0052	4	-0.999	0.817	0	
0	457.999	206.489	3448.25996553	0.946237161366	132.5247	4	-1.686	1.940	0	
0	1246.510	213.159	2083.53116057	0.883893621739	134.7623	4	-0.997	1.013	0	
0	1246.825	215.853	5214.34785414	0.949729657362	134.0658	4	-0.181	1.035	0	
0	1228.184	218.010	6963.05779603	0.97185170294	137.3751	4	-0.898	1.590	0	
0	858.546	225.579	25468.3025259	0.977237220956	137.4565	4	-0.708	2.779	0	
0	55.990	231.657	5243.24317246	0.936698877952	120.5049	4	-0.719	1.398	0	
0	1194.034	255.246	7461.05085193	0.963829023624	151.7392	4	-0.901	2.196	0	
0	39.239	256.473	17963.8739906	0.964717151896	123.7027	4	-1.422	3.767	0	
0	65.407	262.651	6823.38694142	0.949729657362	131.4209	4	-1.799	2.972	0	
0	53.948	269.966	15892.7846988	0.963829023624	133.7454	4	-1.367	3.373	0	
0	51.425	277.495	15163.5190079	0.969170083947	138.5539	4	-1.164	2.857	0	
0	912.386	275.283	11566.4477417	0.968277856261	130.8376	4	-1.157	2.563	0	
0	1218.510	299.255	9514.80736352	0.92811117102	154.5652	4	-2.545	4.972	0	
0	56.279	304.368	15275.6605824	0.960284679209	147.5533	4	-1.512	3.756	0	
0	73.655	306.505	4956.78406594	0.950604793656	158.0152	4	-1.519	2.227	0	
0	1199.551	321.493	8645.69678034	0.960284679209	156.3152	4	-1.347	2.508	0	
0	962.233	324.494	15761.5890496	0.957634976969	159.4069	4	-1.624	4.058	0	
0	1285.567	329.168	1691.9986025	0.970957006529	109.3478	4	0.205	0.561	0	
0	40.701	331.241	3554.67581999	0.958517397686	115.8773	4	-1.071	1.549	0	
0	1204.618	336.066	11076.4349167	0.951480736352	162.7364	4	-1.759	3.565	0	
0	1073.437	362.121	3078.93130974	0.945366045958	107.0235	4	1.638	1.715	0	
0	1059.349	342.780	9817.4794302	0.961169541516	167.1735	4	-0.786	2.751	0	
0	1182.322	345.293	2112.51596624	0.950604793656	126.6339	4	-0.782	1.189	0	
0	1278.385	348.792	7557.8801368	0.951480736352	115.2901	4	-0.945	2.150	0	
0	1272.328	349.291	4549.8806015	0.762781234069	151.6689	4	-1.387	2.296	0	
0	1268.652	350.544	3141.95528464	0.934114255736	151.4173	4	-0.636	1.531	0	
0	993.545	349.976	4442.21935471	0.905315591648	109.5095	4	3.496	4.474	0	
0	1318.587	356.302	23248.771015	0.969170083947	111.667	4	-1.177	3.717	0	
0	672.089	372.015	13182.5673856	0.948855326728	153.7581	4	-0.361	1.411	0	
0	620.925	378.891	3061.96343369	0.863773746529	124.9356	4	-0.056	0.762	0	
0	1274.970	378.554	5176.06831951	0.973643569799	110.3573	4	-0.230	1.254	0	
0	1219.310	386.550	13182.5673856	0.98174794302	143.9111	4	-0.490	1.496	0	
0	23.436	387.270	1868.95997165	0.920449571753	108.7098	4	-2.324	1.879	0	
0	82.404	395.857	3694.87712254	0.965606098542	123.8033	4	-0.839	1.277	0	
0	635.653	398.169	5002.64862421	0.941022483527	141.2022	4	-1.958	2.701	0	
0	31.103	409.546	2379.03044588	0.908657048958	109.1912	4	-0.612	1.111	0	
0	1316.584	425.362	4647.29241676	0.978137704323	105.9885	4	-0.256	0.970	0	
0	1218.608	429.856	2584.63963577	0.961169541516	120.4061	4	-0.712	1.094	0	
0	602.975	450.962	1403.45987292	0.911171233043	119.0103	4	-2.469	1.506	0	
0	646.753	451.627	12089.2678521	0.978137704323	141.2345	4	-0.658	1.792	0	
0	768.725	453.995	4115.28578436	0.972747223777	136.4898	4	-0.684	1.056	0	
0	612.962	458.680	2921.46037388	0.939290651618	123.9818	4	-0.475	0.821	0	
0	615.083	462.445	3000.54400244	0.921297727669	126.4244	4	-0.332	0.896	0	
