FRAME	XCENTER	YCENTER	BRIGHTNESS	BERR	MSKY	NITER	SHARP	CHI	ERR	
0	1172.178	22.936	832.530206749	0.946237161366	56.28631	4	-0.488	0.714	0	
0	727.210	40.342	588.843655356	0.932395137541	55.11953	4	-1.767	0.835	0	
0	345.329	41.296	2106.68692574	0.886339287328	118.3629	4	-4.188	3.389	0	
0	365.555	42.551	2525.80605483	0.949729657362	87.63396	4	-1.637	1.590	0	
0	834.916	43.092	1370.25059712	0.951480736352	70.53643	4	1.523	1.109	0	
0	844.214	43.315	1361.44468247	0.972747223777	72.40627	4	-0.057	0.562	0	
0	1083.646	48.589	2468.3116897	0.98174794302	60.67539	4	-0.227	0.624	0	
0	1192.100	62.934	2834.00100551	0.98174794302	56.95793	4	-0.037	0.715	0	
0	380.122	73.628	757.879220916	0.894540483779	91.74687	4	-2.743	1.254	0	
0	384.694	74.406	973.643569799	0.923846887538	94.23967	4	-1.539	1.123	0	
0	1234.150	78.000	1422.98394458	0.964717151896	54.75868	4	-0.972	0.862	0	
0	1190.617	89.572	3008.84627665	0.972747223777	59.92152	4	-0.950	1.125	0	
0	1092.570	93.813	3394.6890538	0.986279485631	59.60092	4	-0.079	0.594	0	
0	371.261	106.805	1332.90746423	0.954113410282	136.2464	4	0.900	0.797	0	
0	51.570	110.299	2222.28625433	0.979941161096	68.33998	4	-0.286	0.639	0	
0	32.948	112.654	1862.08713666	0.972747223777	69.24013	4	-0.568	0.773	0	
0	774.991	118.543	1203.37227118	0.958517397686	61.61589	4	1.104	0.879	0	
0	421.280	120.242	777.678334456	0.898669495048	109.3853	4	-2.700	1.299	0	
0	838.243	120.997	2878.72381084	0.978137704323	64.83138	4	-0.634	0.840	0	
0	439.341	126.042	3780.94186683	0.986279485631	100.3644	4	0.143	0.576	0	
0	409.717	132.028	1035.61897704	0.957634976969	98.48346	4	0.154	0.659	0	
0	1107.763	135.478	1967.88628971	0.978137704323	62.56224	4	0.447	0.630	0	
