FRAME	XCENTER	YCENTER	BRIGHTNESS	BERR	MSKY	NITER	SHARP	CHI	ERR	
0	352.961	3.338	2132.06283581	0.936698877952	73.82153	4	0.402	0.833	0	
0	353.294	5.970	1803.01774086	0.921297727669	73.92471	4	0.557	0.887	0	
0	378.813	73.098	1587.81536421	0.959400631516	75.59747	4	-0.523	0.911	0	
0	1232.706	77.923	1048.09343336	0.961169541516	78.50121	4	-0.515	0.676	0	
0	37.281	82.523	3277.932453	0.983558056227	73.78795	4	-0.105	0.680	0	
0	393.664	118.665	2967.56335807	0.943626220277	79.73438	4	1.857	2.334	0	
0	73.130	140.094	3544.86744474	0.976337566583	74.849	4	-0.303	1.053	0	
0	811.880	147.825	1336.59551655	0.961169541516	74.45616	4	-0.985	0.822	0	
0	422.010	176.604	3760.10523668	0.98265258283	79.01817	4	-0.369	0.783	0	
0	803.160	178.902	1285.87869263	0.957634976969	75.52905	4	-0.906	0.886	0	
0	19.435	191.237	3637.47485643	0.979039017448	73.90235	4	-0.528	0.938	0	
0	805.183	207.947	1923.09172891	0.976337566583	76.46634	4	-0.259	0.646	0	
0	858.235	225.359	3897.62453098	0.98446436398	79.28818	4	-0.258	0.687	0	
0	115.212	242.201	817.334817978	0.92896638678	76.71864	4	-1.669	1.055	0	
0	1251.674	244.794	2596.56979027	0.979941161096	74.02194	4	-0.368	0.685	0	
0	846.545	253.101	1644.37172321	0.967386449969	78.22015	4	-0.445	0.811	0	
0	49.666	277.096	3064.78490537	0.98174794302	76.51909	4	-0.502	0.707	0	
0	915.133	286.302	2507.26362478	0.973643569799	79.80304	4	-0.648	0.891	0	
0	1223.926	289.233	2736.52865419	0.951480736352	134.416	4	1.525	1.631	0	
0	23.948	289.764	3767.03798984	0.976337566583	77.95258	4	0.449	1.068	0	
0	1309.287	294.357	1995.26231497	0.98265258283	76.41425	4	-0.070	0.473	0	
0	1233.210	306.161	2314.19526151	0.946237161366	131.36	4	1.612	1.574	0	
0	84.947	337.965	3296.09712177	0.878213279898	81.22655	4	4.265	5.518	0	
0	973.440	343.504	4107.71212553	0.983558056227	82.70854	4	-0.311	0.746	0	
0	1012.639	344.995	3317.41649695	0.940156168804	84.43423	4	2.033	2.633	0	
