index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,2534.8,200.85
2,518,277,1350.7,179.07
3,581,274,420.67,164.61
4,643,273,272.11,164.83
5,705,272,507.78,178.8
6,762,271,574.67,197.42
7,826,268,1698.4,217.34
8,888,266,627,190.38
9,949,264,354.22,162.75
10,461,342,1345.9,185.07
11,520,336,1662,181.69
12,581,334,258.11,166.41
13,648,333,421.89,171.98
14,705,333,1588.9,197.99
15,764,330,1742.9,222.54
16,828,328,330.78,192.7
17,890,326,592.33,174.77
18,951,324,1175.9,170.41
19,463,403,1313.1,185
20,521,400,1475.8,193.98
21,584,398,970.78,177.24
22,647,395,457.33,175.1
23,707,394,263.44,178.7
24,766,390,354.33,192.18
25,829,391,520.89,205.19
26,893,387,759.67,185.28
27,952,385,2104.4,184.28
28,464,465,1151.7,185.85
29,523,460,530.78,180.82
30,586,458,1136.7,186.64
31,648,459,3053.9,193.4
32,708,455,545.89,175.94
33,768,453,285.11,183.47
34,830,450,1295.1,194.87
35,892,449,1290.8,180.15
36,954,446,618.67,183.15
37,465,525,729.67,180.39
38,525,523,486.11,175.63
39,587,520,903.11,216.07
40,650,518,760.67,177.88
41,710,515,286.67,173.92
42,768,514,686.78,182.69
43,833,512,1302.2,208.11
44,894,510,1071.6,177.76
45,954,507,1203.3,184.65
46,467,586,660.56,173.72
47,526,584,661.56,176.11
48,589,581,1297.1,191.92
49,651,578,231.67,172.33
50,711,576,373.11,180.79
51,771,574,539.44,188.62
52,832,570,679.56,183.87
53,897,570,623.56,188.81
54,956,568,1025.1,176.69
55,468,647,3334.2,195.28
56,527,645,585.33,183.94
57,590,641,1582.2,195.01
58,653,640,547.89,176.77
59,713,637,613,185.39
60,772,634,796.44,193.21
61,835,633,839.44,206.33
62,898,632,3318.3,224.12
63,957,629,342.22,183.54
64,468,708,993.11,180.88
65,528,706,1437.1,189.75
66,591,703,1553.6,199.18
67,653,699,473.78,168.88
68,714,698,715.44,169.89
69,773,697,439.89,173.25
70,835,694,378.56,180.83
71,898,694,599.44,194.05
72,959,690,1048.1,179.23
73,466,764,638.11,170.91
74,531,766,765,174.46
75,594,763,452.78,169.41
76,655,760,286.56,159.36
77,715,758,434.22,164.11
78,776,757,481.44,174.51
79,836,755,514.78,183.05
80,901,755,839.89,179.89
81,960,751,1573.9,176.51
