index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,1796.8,200.85
2,518,277,716.01,179.07
3,581,274,453.42,164.61
4,643,273,357.14,164.83
5,705,272,535.45,178.8
6,762,271,998.15,197.42
7,826,268,2017.5,217.34
8,888,266,1059,190.38
9,949,264,421.17,162.75
10,461,342,917.55,185.07
11,520,336,782.88,181.69
12,581,334,275.13,166.41
13,648,333,384.75,171.98
14,705,333,1227.4,197.99
15,764,330,2174.1,222.54
16,828,328,357.71,192.7
17,890,326,369.13,174.77
18,951,324,568.83,170.41
19,463,403,1060.7,185
20,521,400,886.97,193.98
21,584,398,593.39,177.24
22,647,395,477.72,175.1
23,707,394,517.68,178.7
24,766,390,609.09,192.18
25,829,391,1462.5,205.19
26,893,387,739.78,185.28
27,952,385,1018.5,184.28
28,464,465,1134.6,185.85
29,523,460,479.27,180.82
30,586,458,865.76,186.64
31,648,459,1145.6,193.4
32,708,455,341.02,175.94
33,768,453,610.02,183.47
34,830,450,1026.5,194.87
35,892,449,537.27,180.15
36,954,446,967.93,183.15
37,465,525,997.41,180.39
38,525,523,352.91,175.63
39,587,520,848.54,216.07
40,650,518,488.69,177.88
41,710,515,370.29,173.92
42,768,514,663.07,182.69
43,833,512,741.48,208.11
44,894,510,559.93,177.76
45,954,507,1098.6,184.65
46,467,586,399.71,173.72
47,526,584,485.76,176.11
48,589,581,919.44,191.92
49,651,578,304.15,172.33
50,711,576,685.2,180.79
51,771,574,877.42,188.62
52,832,570,489.77,183.87
53,897,570,592.98,188.81
54,956,568,676.26,176.69
55,468,647,1759.5,195.28
56,527,645,416.71,183.94
57,590,641,1135.4,195.01
58,653,640,507.97,176.77
59,713,637,833.91,185.39
60,772,634,990.62,193.21
61,835,633,1436.2,206.33
62,898,632,2223.4,224.12
63,957,629,631.46,183.54
64,468,708,685.78,180.88
65,528,706,926.15,189.75
66,591,703,959.39,199.18
67,653,699,399.6,168.88
68,714,698,399.22,169.89
69,773,697,406.61,173.25
70,835,694,418.17,180.83
71,898,694,1227.8,194.05
72,959,690,875.03,179.23
73,466,764,831.14,170.91
74,531,766,772.72,174.46
75,594,763,601.3,169.41
76,655,760,273.17,159.36
77,715,758,470.96,164.11
78,776,757,722.85,174.51
79,836,755,1155.7,183.05
80,901,755,717.38,179.89
81,960,751,1110.3,176.51
