index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,819.11,155.42
2,518,277,485.67,151.55
3,581,274,175.89,146.32
4,643,273,148.67,145.48
5,705,272,143.89,144.37
6,762,271,149.11,143.61
7,826,268,170.56,142.53
8,888,266,151.67,141.93
9,949,264,141.11,140.87
10,461,342,423.89,151.94
11,520,336,393.22,150.7
12,581,334,169.67,146.8
13,648,333,146.22,145.11
14,705,333,166.33,144.14
15,764,330,172,144.31
16,828,328,148.11,143.7
17,890,326,146.67,142.2
18,951,324,152.89,142.29
19,463,403,390.89,152.43
20,521,400,542.78,155.82
21,584,398,318.22,148.25
22,647,395,142.78,144.2
23,707,394,157,147.94
24,766,390,151.67,146.98
25,829,391,152.56,144.72
26,893,387,151.44,143.87
27,952,385,167.67,141.75
28,464,465,338.56,151.37
29,523,460,222.89,149.61
30,586,458,241.89,149.06
31,648,459,192.89,145.3
32,708,455,156.33,146.95
33,768,453,146,146.53
34,830,450,163.56,144.92
35,892,449,158.33,142.42
36,954,446,131.33,138.38
37,465,525,245.11,149.86
38,525,523,197.33,149.7
39,587,520,237.89,159.72
40,650,518,152.44,145.67
41,710,515,145.67,144.38
42,768,514,153.22,144.41
43,833,512,152.67,144.23
44,894,510,141.11,139.45
45,954,507,157.22,146.06
46,467,586,236.56,149.26
47,526,584,274.33,150.89
48,589,581,346.22,153.48
49,651,578,142.67,146.04
50,711,576,143.67,144.61
51,771,574,150.44,144.45
52,832,570,146.33,144.27
53,897,570,147.89,142.4
54,956,568,163.67,150.75
55,468,647,889.44,155.44
56,527,645,342.11,152.38
57,590,641,385.89,153.57
58,653,640,151.89,146.08
59,713,637,153.44,145.31
60,772,634,152.67,145.28
61,835,633,153.78,144.5
62,898,632,185.33,142.43
63,957,629,157.44,149.36
64,468,708,372.44,151.57
65,528,706,625.44,155.69
66,591,703,716.56,156.47
67,653,699,149,145.27
68,714,698,152.89,143.54
69,773,697,147.67,142.95
70,835,694,149.33,143.41
71,898,694,136.11,139.96
72,959,690,157.44,145.08
73,466,764,215.22,146.52
74,531,766,251.11,145.93
75,594,763,238.56,155.77
76,655,760,163.22,158.82
77,715,758,137.22,144.91
78,776,757,148.56,144.34
79,836,755,152.22,144.13
80,901,755,152.33,142.37
81,960,751,140.11,138.89
