index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,545.41,155.42
2,518,277,305.69,151.55
3,581,274,186.96,146.32
4,643,273,146.77,145.48
5,705,272,148.63,144.37
6,762,271,154.67,143.61
7,826,268,181.54,142.53
8,888,266,153.74,141.93
9,949,264,143.32,140.87
10,461,342,310.21,151.94
11,520,336,252.12,150.7
12,581,334,168.36,146.8
13,648,333,147.32,145.11
14,705,333,160.33,144.14
15,764,330,181.02,144.31
16,828,328,146.98,143.7
17,890,326,143.39,142.2
18,951,324,146.33,142.29
19,463,403,396.57,152.43
20,521,400,372.76,155.82
21,584,398,228.89,148.25
22,647,395,147.97,144.2
23,707,394,153.65,147.94
24,766,390,151.45,146.98
25,829,391,165.53,144.72
26,893,387,150.44,143.87
27,952,385,153.07,141.75
28,464,465,352.54,151.37
29,523,460,193.88,149.61
30,586,458,218.52,149.06
31,648,459,161.55,145.3
32,708,455,148.68,146.95
33,768,453,150.56,146.53
34,830,450,157.97,144.92
35,892,449,148.85,142.42
36,954,446,141.45,138.38
37,465,525,264,149.86
38,525,523,206.32,149.7
39,587,520,292.17,159.72
40,650,518,148.77,145.67
41,710,515,146.65,144.38
42,768,514,149.75,144.41
43,833,512,151.77,144.23
44,894,510,135.83,139.45
45,954,507,159.7,146.06
46,467,586,202.74,149.26
47,526,584,230.36,150.89
48,589,581,319.86,153.48
49,651,578,146.69,146.04
50,711,576,149.82,144.61
51,771,574,157.05,144.45
52,832,570,147.56,144.27
53,897,570,147.27,142.4
54,956,568,158.48,150.75
55,468,647,517.2,155.44
56,527,645,225.73,152.38
57,590,641,363.17,153.57
58,653,640,149.33,146.08
59,713,637,156.39,145.31
60,772,634,157.38,145.28
61,835,633,166.49,144.5
62,898,632,174.34,142.43
63,957,629,156.93,149.36
64,468,708,289.15,151.57
65,528,706,406.07,155.69
66,591,703,387.93,156.47
67,653,699,147.72,145.27
68,714,698,147.76,143.54
69,773,697,146.27,142.95
70,835,694,146.44,143.41
71,898,694,144.77,139.96
72,959,690,154.77,145.08
73,466,764,244.37,146.52
74,531,766,234.84,145.93
75,594,763,272.63,155.77
76,655,760,162.06,158.82
77,715,758,140.13,144.91
78,776,757,152.42,144.34
79,836,755,156.84,144.13
80,901,755,150.41,142.37
81,960,751,141.62,138.89
