index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,48.444,47.077
2,518,277,47.667,47.278
3,581,274,48.222,47.213
4,643,273,48.444,47.191
5,705,272,47.889,47.37
6,762,271,47.556,48.579
7,826,268,213,54.28
8,888,266,195.89,54.028
9,949,264,71.333,48.972
10,461,342,52.667,46.496
11,520,336,50,46.594
12,581,334,45.556,46.461
13,648,333,47.778,46.813
14,705,333,51.667,47.433
15,764,330,48.444,47.925
16,828,328,76.556,51.037
17,890,326,153.11,50.453
18,951,324,89.444,48.242
19,463,403,44.778,46.016
20,521,400,48.556,46.433
21,584,398,46.333,46.323
22,647,395,47.222,46.181
23,707,394,47.889,46.581
24,766,390,49.333,48.028
25,829,391,160.56,54.28
26,893,387,132.44,50.801
27,952,385,161.44,48.882
28,464,465,48.556,45.858
29,523,460,45.444,46.028
30,586,458,45.889,45.846
31,648,459,52.889,45.972
32,708,455,46.444,46.295
33,768,453,48.111,47.541
34,830,450,232.56,53.061
35,892,449,202.11,49.701
36,954,446,68.778,47.181
37,465,525,47.222,45.528
38,525,523,47,45.691
39,587,520,48.778,46.146
40,650,518,49.444,45.823
41,710,515,46,45.827
42,768,514,49.333,47.35
43,833,512,235,56.835
44,894,510,164.11,47.762
45,954,507,97.333,46.97
46,467,586,45.222,45.348
47,526,584,46.222,45.35
48,589,581,45.556,45.537
49,651,578,45.889,45.665
50,711,576,47.889,45.795
51,771,574,47.667,46.734
52,832,570,119.22,50.047
53,897,570,66.778,47.957
54,956,568,82.333,47.219
55,468,647,47.444,45.238
56,527,645,45.889,45.152
57,590,641,44.556,45.23
58,653,640,46.889,45.587
59,713,637,46.222,45.805
60,772,634,47.333,47.26
61,835,633,169.11,53.364
62,898,632,345.33,51.659
63,957,629,68.667,48.551
64,468,708,47.444,45.179
65,528,706,56.556,45.346
66,591,703,49.889,45.465
67,653,699,47.333,45.39
68,714,698,49.778,45.563
69,773,697,47.222,46.177
70,835,694,105.22,50.124
71,898,694,140.44,50.213
72,959,690,95.667,48.161
73,466,764,46,45.132
74,531,766,44.222,44.923
75,594,763,45.222,44.921
76,655,760,42.778,45.236
77,715,758,44.333,45.102
78,776,757,48.222,46.404
79,836,755,143,50.352
80,901,755,167.22,50.14
81,960,751,184.78,48.823
