index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,46.966,47.077
2,518,277,47.533,47.278
3,581,274,47.356,47.213
4,643,273,47.786,47.191
5,705,272,48.441,47.37
6,762,271,50.109,48.579
7,826,268,290.74,54.28
8,888,266,233.12,54.028
9,949,264,77.138,48.972
10,461,342,50.121,46.496
11,520,336,48.298,46.594
12,581,334,46.749,46.461
13,648,333,47.417,46.813
14,705,333,52.829,47.433
15,764,330,54.272,47.925
16,828,328,91.401,51.037
17,890,326,96.976,50.453
18,951,324,69.527,48.242
19,463,403,46.145,46.016
20,521,400,47.076,46.433
21,584,398,46.102,46.323
22,647,395,46.667,46.181
23,707,394,46.803,46.581
24,766,390,47.871,48.028
25,829,391,261.78,54.28
26,893,387,112.08,50.801
27,952,385,100.68,48.882
28,464,465,46.106,45.858
29,523,460,46.035,46.028
30,586,458,46.036,45.846
31,648,459,48.359,45.972
32,708,455,46.574,46.295
33,768,453,48.304,47.541
34,830,450,210.56,53.061
35,892,449,102.02,49.701
36,954,446,83.521,47.181
37,465,525,47.46,45.528
38,525,523,46.694,45.691
39,587,520,48.337,46.146
40,650,518,48.206,45.823
41,710,515,47.113,45.827
42,768,514,50.868,47.35
43,833,512,153.55,56.835
44,894,510,85.979,47.762
45,954,507,95.085,46.97
46,467,586,45.493,45.348
47,526,584,45.798,45.35
48,589,581,45.892,45.537
49,651,578,45.89,45.665
50,711,576,47.273,45.795
51,771,574,49.049,46.734
52,832,570,111.73,50.047
53,897,570,71.571,47.957
54,956,568,65.352,47.219
55,468,647,45.458,45.238
56,527,645,45.411,45.152
57,590,641,45.429,45.23
58,653,640,46.445,45.587
59,713,637,47.324,45.805
60,772,634,48.361,47.26
61,835,633,266.17,53.364
62,898,632,291.9,51.659
63,957,629,102.18,48.551
64,468,708,46.325,45.179
65,528,706,47.377,45.346
66,591,703,47.502,45.465
67,653,699,46.129,45.39
68,714,698,46.461,45.563
69,773,697,47.345,46.177
70,835,694,99.296,50.124
71,898,694,198.17,50.213
72,959,690,91.747,48.161
73,466,764,45.092,45.132
74,531,766,45.04,44.923
75,594,763,44.594,44.921
76,655,760,45.009,45.236
77,715,758,44.927,45.102
78,776,757,47.921,46.404
79,836,755,209.72,50.352
80,901,755,152.82,50.14
81,960,751,168.9,48.823
