index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,52.667,50.472
2,518,277,52.556,50.711
3,581,274,50.222,50.596
4,643,273,50.111,50.902
5,705,272,50.556,50.488
6,762,271,51.111,50.429
7,826,268,54.333,50.006
8,888,266,52.778,50.116
9,949,264,50.333,49.848
10,461,342,52.778,50.453
11,520,336,48.778,50.547
12,581,334,50.556,50.524
13,648,333,50,50.486
14,705,333,49.778,50.537
15,764,330,48.667,50.62
16,828,328,50.333,50.687
17,890,326,52.111,50.226
18,951,324,50.111,50.165
19,463,403,50.889,50.433
20,521,400,51.778,50.573
21,584,398,50.778,50.313
22,647,395,49.778,50.209
23,707,394,48.556,49.915
24,766,390,49.778,49.667
25,829,391,51.222,50.152
26,893,387,51.889,50.081
27,952,385,51.444,49.671
28,464,465,50.444,50.222
29,523,460,49.667,50.679
30,586,458,50.222,50.335
31,648,459,48.444,50.394
32,708,455,49.111,49.758
33,768,453,49.889,49.569
34,830,450,53.111,50.106
35,892,449,50.333,50.004
36,954,446,50.333,48.65
37,465,525,50.333,50.48
38,525,523,51.444,50.472
39,587,520,49.778,50.593
40,650,518,49.778,50.419
41,710,515,50,50.138
42,768,514,49.444,49.886
43,833,512,51.444,50.026
44,894,510,50,49.039
45,954,507,48.333,47.608
46,467,586,49.556,50.299
47,526,584,50.778,50.335
48,589,581,49.778,50.313
49,651,578,50.889,49.976
50,711,576,50.889,50.339
51,771,574,49.333,49.927
52,832,570,51,49.882
53,897,570,46.667,48.262
54,956,568,48.556,48.191
55,468,647,52,50.406
56,527,645,48.778,50.287
57,590,641,48.667,50.098
58,653,640,52.444,49.965
59,713,637,48.444,50.309
60,772,634,50.667,50.333
61,835,633,50.333,49.852
62,898,632,52.333,48.589
63,957,629,48.556,48.093
64,468,708,49.667,50.128
65,528,706,49.889,49.943
66,591,703,50.778,50.26
67,653,699,50.667,50.205
68,714,698,50.222,49.996
69,773,697,49.556,49.396
70,835,694,48.778,50.226
71,898,694,49.667,48.776
72,959,690,47.111,47.817
73,466,764,49.889,50.047
74,531,766,49.778,49.852
75,594,763,46.444,49.175
76,655,760,46.556,48.827
77,715,758,48.222,49.197
78,776,757,50,49.823
79,836,755,52.889,49.955
80,901,755,51.667,49.783
81,960,751,50.667,48.62
