index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,50.719,50.472
2,518,277,50.743,50.711
3,581,274,50.382,50.596
4,643,273,50.766,50.902
5,705,272,50.71,50.488
6,762,271,50.54,50.429
7,826,268,53.504,50.006
8,888,266,52.668,50.116
9,949,264,50.102,49.848
10,461,342,50.732,50.453
11,520,336,50.73,50.547
12,581,334,50.661,50.524
13,648,333,50.439,50.486
14,705,333,50.698,50.537
15,764,330,50.589,50.62
16,828,328,51.188,50.687
17,890,326,50.75,50.226
18,951,324,50.363,50.165
19,463,403,50.358,50.433
20,521,400,51.019,50.573
21,584,398,50.393,50.313
22,647,395,50.16,50.209
23,707,394,49.517,49.915
24,766,390,49.259,49.667
25,829,391,53.404,50.152
26,893,387,50.873,50.081
27,952,385,50.335,49.671
28,464,465,50.343,50.222
29,523,460,50.572,50.679
30,586,458,50.364,50.335
31,648,459,50.1,50.394
32,708,455,49.229,49.758
33,768,453,49.191,49.569
34,830,450,52.867,50.106
35,892,449,50.512,50.004
36,954,446,48.672,48.65
37,465,525,50.386,50.48
38,525,523,50.524,50.472
39,587,520,50.37,50.593
40,650,518,50.129,50.419
41,710,515,49.911,50.138
42,768,514,49.998,49.886
43,833,512,51.915,50.026
44,894,510,49.261,49.039
45,954,507,48.717,47.608
46,467,586,50.152,50.299
47,526,584,50.446,50.335
48,589,581,50.003,50.313
49,651,578,50.008,49.976
50,711,576,50.023,50.339
51,771,574,49.602,49.927
52,832,570,51.119,49.882
53,897,570,47.972,48.262
54,956,568,48.449,48.191
55,468,647,49.996,50.406
56,527,645,49.991,50.287
57,590,641,50.057,50.098
58,653,640,50.02,49.965
59,713,637,50.254,50.309
60,772,634,49.875,50.333
61,835,633,54.345,49.852
62,898,632,52.172,48.589
63,957,629,49.111,48.093
64,468,708,50.17,50.128
65,528,706,49.882,49.943
66,591,703,50.084,50.26
67,653,699,49.862,50.205
68,714,698,50.125,49.996
69,773,697,49.346,49.396
70,835,694,50.765,50.226
71,898,694,50.935,48.776
72,959,690,48.458,47.817
73,466,764,49.715,50.047
74,531,766,49.677,49.852
75,594,763,48.334,49.175
76,655,760,48.45,48.827
77,715,758,48.523,49.197
78,776,757,49.768,49.823
79,836,755,53.121,49.955
80,901,755,51.85,49.783
81,960,751,50.204,48.62
