index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,123.89,122.73
2,518,277,122.67,125.09
3,581,274,122.22,128.97
4,643,273,234.33,135.8
5,705,272,296.44,145.18
6,762,271,489.56,149.6
7,826,268,152.33,135.92
8,888,266,148.56,132.53
9,949,264,127,129.67
10,461,342,126.67,125.78
11,520,336,132.44,128.85
12,581,334,129.89,133.17
13,648,333,235.33,143.21
14,705,333,907.22,157.36
15,764,330,717.44,161.52
16,828,328,148.22,143.06
17,890,326,146.78,137.11
18,951,324,138.89,134.08
19,463,403,142.33,129.59
20,521,400,138.89,134.72
21,584,398,139.44,138.09
22,647,395,245.22,146.09
23,707,394,192.11,143
24,766,390,213.11,144.96
25,829,391,159.89,145.98
26,893,387,148.11,141.35
27,952,385,168.56,136.81
28,464,465,130,134.09
29,523,460,130.11,138.28
30,586,458,140,144.81
31,648,459,1974.1,159.53
32,708,455,307.56,148.45
33,768,453,260.56,151.97
34,830,450,184.44,149.36
35,892,449,157.56,141.97
36,954,446,106.44,120.5
37,465,525,135.22,137.58
38,525,523,140.78,141.62
39,587,520,145.67,146.18
40,650,518,379.22,157.24
41,710,515,271.44,159.71
42,768,514,797.56,168.43
43,833,512,187.89,154.7
44,894,510,121.78,126.26
45,954,507,119.56,104.49
46,467,586,147.89,140.03
47,526,584,139.89,144.7
48,589,581,155.44,149.24
49,651,578,217.89,157.12
50,711,576,367.89,168.77
51,771,574,725.56,176.17
52,832,570,163,156.45
53,897,570,110.22,117.66
54,956,568,127.56,108.76
55,468,647,141.22,142.45
56,527,645,142.56,146.06
57,590,641,149.33,151.59
58,653,640,387.78,161.84
59,713,637,385.44,172.36
60,772,634,642.22,176.72
61,835,633,193,158.98
62,898,632,163.67,119.28
63,957,629,113.56,110.45
64,468,708,140.11,143.18
65,528,706,157.22,146.24
66,591,703,149.22,149.22
67,653,699,257.78,156.07
68,714,698,448.33,163.25
69,773,697,383.11,165.67
70,835,694,159.11,158.32
71,898,694,124.22,127.91
72,959,690,119.11,107.88
73,466,764,151,142.88
74,531,766,143.11,142.62
75,594,763,114.67,127.02
76,655,760,152.56,124.64
77,715,758,221.67,139.68
78,776,757,527.56,169.56
79,836,755,230.89,160.72
80,901,755,177.78,151.14
81,960,751,144.89,123.16
