index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,121.23,122.73
2,518,277,121.77,125.09
3,581,274,124.21,128.97
4,643,273,245.11,135.8
5,705,272,339.67,145.18
6,762,271,555.26,149.6
7,826,268,176.4,135.92
8,888,266,166.48,132.53
9,949,264,131.81,129.67
10,461,342,124.9,125.78
11,520,336,126.32,128.85
12,581,334,128.12,133.17
13,648,333,212.33,143.21
14,705,333,742.44,157.36
15,764,330,779.6,161.52
16,828,328,146.26,143.06
17,890,326,144.15,137.11
18,951,324,134.75,134.08
19,463,403,137.14,129.59
20,521,400,138.56,134.72
21,584,398,135.92,138.09
22,647,395,236.79,146.09
23,707,394,269.05,143
24,766,390,340.59,144.96
25,829,391,182.26,145.98
26,893,387,150.72,141.35
27,952,385,148.47,136.81
28,464,465,131.57,134.09
29,523,460,134.68,138.28
30,586,458,139.21,144.81
31,648,459,693.63,159.53
32,708,455,213.24,148.45
33,768,453,459.54,151.97
34,830,450,166.13,149.36
35,892,449,147.3,141.97
36,954,446,114.61,120.5
37,465,525,134.67,137.58
38,525,523,138.59,141.62
39,587,520,143.22,146.18
40,650,518,379.23,157.24
41,710,515,286,159.71
42,768,514,630.71,168.43
43,833,512,165.21,154.7
44,894,510,118.83,126.26
45,954,507,114.3,104.49
46,467,586,139.38,140.03
47,526,584,143.31,144.7
48,589,581,151,149.24
49,651,578,218.32,157.12
50,711,576,490.19,168.77
51,771,574,725.1,176.17
52,832,570,164.58,156.45
53,897,570,112.55,117.66
54,956,568,117.52,108.76
55,468,647,139.78,142.45
56,527,645,142.5,146.06
57,590,641,147.42,151.59
58,653,640,365.34,161.84
59,713,637,463.11,172.36
60,772,634,686.51,176.72
61,835,633,189.81,158.98
62,898,632,145.31,119.28
63,957,629,118.19,110.45
64,468,708,140.34,143.18
65,528,706,144.84,146.24
66,591,703,148.28,149.22
67,653,699,237.68,156.07
68,714,698,318.29,163.25
69,773,697,319.18,165.67
70,835,694,162.85,158.32
71,898,694,139.59,127.91
72,959,690,115.99,107.88
73,466,764,147.65,142.88
74,531,766,143.24,142.62
75,594,763,122.45,127.02
76,655,760,156.06,124.64
77,715,758,228.61,139.68
78,776,757,661.67,169.56
79,836,755,208.66,160.72
80,901,755,179.92,151.14
81,960,751,135.06,123.16
