index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,1217,158.33
2,518,277,159.11,147.21
3,581,274,149.11,144.86
4,643,273,184.33,146.52
5,705,272,150.11,146.5
6,762,271,152.33,146.4
7,826,268,471.89,156.34
8,888,266,152.44,145.45
9,949,264,144.89,140.91
10,461,342,565.33,156.07
11,520,336,161.78,147.9
12,581,334,146.78,145.36
13,648,333,223.78,146.62
14,705,333,163.78,146.57
15,764,330,162.89,147.01
16,828,328,212,151.02
17,890,326,148.89,144.91
18,951,324,157.89,143.46
19,463,403,516.67,154.87
20,521,400,163.67,147.79
21,584,398,152.89,145.82
22,647,395,210.22,149.55
23,707,394,149.22,146.55
24,766,390,148.78,148.2
25,829,391,293.44,158.55
26,893,387,154.56,147.5
27,952,385,169.22,144
28,464,465,408.11,152.15
29,523,460,153.56,146.14
30,586,458,162.56,147.31
31,648,459,1497.1,157.03
32,708,455,149.89,148.2
33,768,453,149.44,148.69
34,830,450,749.22,159.32
35,892,449,166.89,149.25
36,954,446,151.11,144.08
37,465,525,284.56,150.8
38,525,523,148.11,146.95
39,587,520,152.33,145.62
40,650,518,334.56,150.53
41,710,515,145.33,147.44
42,768,514,153.11,148.55
43,833,512,589.11,166.46
44,894,510,158.56,147.67
45,954,507,156.89,144.76
46,467,586,331.11,152.62
47,526,584,149.89,146.85
48,589,581,164.44,146.26
49,651,578,168,144.98
50,711,576,146.11,143.99
51,771,574,148.56,146.1
52,832,570,282.56,151.55
53,897,570,143.67,145.39
54,956,568,156.89,142.94
55,468,647,1277.2,160.29
56,527,645,159.78,149.79
57,590,641,172,146.43
58,653,640,321.56,148.62
59,713,637,153.67,145.05
60,772,634,154.89,146.28
61,835,633,324.67,156.4
62,898,632,195.11,148.34
63,957,629,147.33,143.62
64,468,708,510,154.18
65,528,706,164.44,147.24
66,591,703,169.67,146.04
67,653,699,212.56,146.83
68,714,698,153.56,144.88
69,773,697,152.44,147.71
70,835,694,247,152.87
71,898,694,155.67,148.11
72,959,690,156.56,144.17
73,466,764,254.33,149.92
74,531,766,157.22,145.84
75,594,763,148,144.46
76,655,760,169.22,145.96
77,715,758,154.22,145.19
78,776,757,149.11,147.44
79,836,755,323.44,155.68
80,901,755,151.11,146.36
81,960,751,158.67,142.96
