index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,760.26,158.33
2,518,277,152.53,147.21
3,581,274,148.56,144.86
4,643,273,209.32,146.52
5,705,272,150.2,146.5
6,762,271,156.87,146.4
7,826,268,651.93,156.34
8,888,266,157.61,145.45
9,949,264,143.91,140.91
10,461,342,431.29,156.07
11,520,336,153.47,147.9
12,581,334,146.49,145.36
13,648,333,194.02,146.62
14,705,333,160.94,146.57
15,764,330,180.63,147.01
16,828,328,243.19,151.02
17,890,326,145.84,144.91
18,951,324,147.9,143.46
19,463,403,509.36,154.87
20,521,400,155.53,147.79
21,584,398,151.57,145.82
22,647,395,210.81,149.55
23,707,394,150.09,146.55
24,766,390,152.96,148.2
25,829,391,576.38,158.55
26,893,387,154.31,147.5
27,952,385,155.23,144
28,464,465,446.3,152.15
29,523,460,150.21,146.14
30,586,458,158.04,147.31
31,648,459,560.43,157.03
32,708,455,148.44,148.2
33,768,453,153.31,148.69
34,830,450,541.52,159.32
35,892,449,153.19,149.25
36,954,446,156.22,144.08
37,465,525,332.36,150.8
38,525,523,148.08,146.95
39,587,520,152.53,145.62
40,650,518,298.62,150.53
41,710,515,148.49,147.44
42,768,514,152.54,148.55
43,833,512,401.32,166.46
44,894,510,150.44,147.67
45,954,507,157.04,144.76
46,467,586,244.02,152.62
47,526,584,149.93,146.85
48,589,581,156.28,146.26
49,651,578,186.03,144.98
50,711,576,149.02,143.99
51,771,574,156.47,146.1
52,832,570,302.35,151.55
53,897,570,149.18,145.39
54,956,568,148.9,142.94
55,468,647,714.8,160.29
56,527,645,152.5,149.79
57,590,641,163.79,146.43
58,653,640,284.28,148.62
59,713,637,154.93,145.05
60,772,634,159.56,146.28
61,835,633,560.38,156.4
62,898,632,181.36,148.34
63,957,629,150.97,143.62
64,468,708,373.75,154.18
65,528,706,158.5,147.24
66,591,703,157.04,146.04
67,653,699,198.82,146.83
68,714,698,148.29,144.88
69,773,697,153.39,147.71
70,835,694,278.98,152.87
71,898,694,160.8,148.11
72,959,690,154.2,144.17
73,466,764,289.52,149.92
74,531,766,155,145.84
75,594,763,152.08,144.46
76,655,760,173.25,145.96
77,715,758,149.26,145.19
78,776,757,155.05,147.44
79,836,755,568.88,155.68
80,901,755,152.43,146.36
81,960,751,153.7,142.96
