index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,47.444,47.197
2,518,277,51.889,47.035
3,581,274,46.444,47.368
4,643,273,45.778,47.508
5,705,272,49.556,47.51
6,762,271,48.222,47.276
7,826,268,47.778,46.996
8,888,266,54,47.163
9,949,264,46.444,46.691
10,461,342,53.333,46.768
11,520,336,52.556,46.654
12,581,334,48,46.86
13,648,333,45.778,46.898
14,705,333,53.222,47.222
15,764,330,52.667,47.15
16,828,328,48.444,46.648
17,890,326,54.222,46.652
18,951,324,48.111,46.732
19,463,403,45.222,46.156
20,521,400,51.333,46.138
21,584,398,48.333,46.407
22,647,395,45.778,46.352
23,707,394,46.667,46.469
24,766,390,45.556,46.498
25,829,391,47.222,46.634
26,893,387,50.667,46.402
27,952,385,51.778,46.524
28,464,465,46.222,45.62
29,523,460,46.111,45.549
30,586,458,47.333,45.892
31,648,459,45.778,46.022
32,708,455,46.667,46.146
33,768,453,46.778,46.531
34,830,450,48.111,46.333
35,892,449,51.444,46.256
36,954,446,46.889,45.947
37,465,525,48.444,45.311
38,525,523,47.556,45.236
39,587,520,47.889,45.724
40,650,518,47.667,45.663
41,710,515,46.889,45.748
42,768,514,50.333,46.047
43,833,512,52.111,46.512
44,894,510,51.444,45.541
45,954,507,50.333,46.028
46,467,586,46.444,45.205
47,526,584,47.667,45.411
48,589,581,48.444,45.423
49,651,578,45.556,45.142
50,711,576,45.444,45.183
51,771,574,46.111,45.528
52,832,570,47.778,45.35
53,897,570,45.778,45.281
54,956,568,46.556,45.258
55,468,647,44.778,45.417
56,527,645,47.778,45.447
57,590,641,46.222,45.287
58,653,640,44.889,45.055
59,713,637,46.889,45.258
60,772,634,45.333,44.933
61,835,633,45.444,45.262
62,898,632,55.556,45.262
63,957,629,46.667,45.03
64,468,708,45.667,45.13
65,528,706,56.889,45.329
66,591,703,53.444,45.327
67,653,699,45.556,45.024
68,714,698,48.778,45.033
69,773,697,45.667,45.541
70,835,694,48.333,45.108
71,898,694,49.889,45.392
72,959,690,47.222,44.917
73,466,764,46.333,44.931
74,531,766,46.667,45.152
75,594,763,46.333,44.833
76,655,760,45.444,44.97
77,715,758,45.667,44.829
78,776,757,47.667,45.148
79,836,755,46.444,45.073
80,901,755,47.667,44.906
81,960,751,48.222,44.854
