index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,46.872,47.197
2,518,277,49.34,47.035
3,581,274,48.052,47.368
4,643,273,47.385,47.508
5,705,272,48.552,47.51
6,762,271,49.627,47.276
7,826,268,50.409,46.996
8,888,266,53.061,47.163
9,949,264,47.557,46.691
10,461,342,50.117,46.768
11,520,336,49.524,46.654
12,581,334,47.447,46.86
13,648,333,47.136,46.898
14,705,333,52.515,47.222
15,764,330,53.79,47.15
16,828,328,48.051,46.648
17,890,326,49.514,46.652
18,951,324,47.674,46.732
19,463,403,46.157,46.156
20,521,400,49.445,46.138
21,584,398,47.149,46.407
22,647,395,46.301,46.352
23,707,394,46.999,46.469
24,766,390,47.91,46.498
25,829,391,50.459,46.634
26,893,387,48.846,46.402
27,952,385,48.001,46.524
28,464,465,45.604,45.62
29,523,460,45.938,45.549
30,586,458,46.345,45.892
31,648,459,46.198,46.022
32,708,455,46.313,46.146
33,768,453,48.176,46.531
34,830,450,49.12,46.333
35,892,449,47.886,46.256
36,954,446,46.898,45.947
37,465,525,47.154,45.311
38,525,523,46.961,45.236
39,587,520,48.997,45.724
40,650,518,46.97,45.663
41,710,515,46.784,45.748
42,768,514,50.503,46.047
43,833,512,51.149,46.512
44,894,510,47.988,45.541
45,954,507,51.141,46.028
46,467,586,45.528,45.205
47,526,584,46.23,45.411
48,589,581,47.088,45.423
49,651,578,45.114,45.142
50,711,576,46.474,45.183
51,771,574,49.119,45.528
52,832,570,46.823,45.35
53,897,570,46.226,45.281
54,956,568,45.806,45.258
55,468,647,45.025,45.417
56,527,645,46.092,45.447
57,590,641,47.467,45.287
58,653,640,45.11,45.055
59,713,637,46.423,45.258
60,772,634,46.774,44.933
61,835,633,48.382,45.262
62,898,632,53.622,45.262
63,957,629,46.405,45.03
64,468,708,46.306,45.13
65,528,706,50.005,45.329
66,591,703,48.92,45.327
67,653,699,45.347,45.024
68,714,698,46.232,45.033
69,773,697,47.011,45.541
70,835,694,47.576,45.108
71,898,694,54.407,45.392
72,959,690,48.005,44.917
73,466,764,45.185,44.931
74,531,766,46.143,45.152
75,594,763,46.532,44.833
76,655,760,45.032,44.97
77,715,758,45.288,44.829
78,776,757,46.995,45.148
79,836,755,48.054,45.073
80,901,755,48.937,44.906
81,960,751,47.796,44.854
