index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,65.444,68.663
2,518,277,70.222,72.872
3,581,274,89.444,72.496
4,643,273,72.556,72.128
5,705,272,69.667,72.161
6,762,271,108.44,67.083
7,826,268,57.889,54.898
8,888,266,52.667,53.616
9,949,264,78.111,54.217
10,461,342,73.111,75.069
11,520,336,71.222,76.352
12,581,334,78.667,77.217
13,648,333,67,74.386
14,705,333,70.667,74.518
15,764,330,215.78,69.827
16,828,328,59.444,60.874
17,890,326,59.778,59.919
18,951,324,92,62.317
19,463,403,62,73.016
20,521,400,55.333,70.98
21,584,398,176.11,72.547
22,647,395,71.667,77.112
23,707,394,67.556,75.819
24,766,390,91.333,70.929
25,829,391,65.778,71.941
26,893,387,67.111,72.99
27,952,385,162.78,68.74
28,464,465,54.889,59.915
29,523,460,55.111,58.384
30,586,458,110.33,65.809
31,648,459,66.889,76.362
32,708,455,66.889,78.768
33,768,453,109.78,78.642
34,830,450,69.222,74.134
35,892,449,64.333,73.297
36,954,446,91,77.317
37,465,525,59,57.927
38,525,523,61.333,60.451
39,587,520,158.89,69.217
40,650,518,63,68.339
41,710,515,83.778,77.469
42,768,514,214.89,82.97
43,833,512,75.556,75.439
44,894,510,65.444,77.358
45,954,507,162,76.799
46,467,586,55.889,58.48
47,526,584,59.778,60.953
48,589,581,216.22,65.482
49,651,578,60.111,60.896
50,711,576,60.111,65.825
51,771,574,233.22,76.78
52,832,570,55.778,69.579
53,897,570,53.111,68.313
54,956,568,96.778,66.909
55,468,647,59.778,59.152
56,527,645,61,63.171
57,590,641,260.89,68.789
58,653,640,62.222,63.732
59,713,637,62.778,62.524
60,772,634,171,63.675
61,835,633,57.667,57.734
62,898,632,58.111,57.789
63,957,629,78.778,58.075
64,468,708,100.56,61.967
65,528,706,71.111,65.526
66,591,703,384.22,72.49
67,653,699,65.333,66.358
68,714,698,63,65.636
69,773,697,117.22,66.579
70,835,694,62.333,61.348
71,898,694,61.222,60.415
72,959,690,93.222,60.293
73,466,764,60,62.344
74,531,766,63.111,64.366
75,594,763,164,67.112
76,655,760,64,63.974
77,715,758,62.444,64.882
78,776,757,212.67,67.917
79,836,755,65.889,62.752
80,901,755,59.667,61.012
81,960,751,339,61.907
