index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,65.03,68.663
2,518,277,72.557,72.872
3,581,274,100.65,72.496
4,643,273,71.689,72.128
5,705,272,68.487,72.161
6,762,271,182.16,67.083
7,826,268,56.734,54.898
8,888,266,54.797,53.616
9,949,264,79.905,54.217
10,461,342,73.646,75.069
11,520,336,71.584,76.352
12,581,334,84.178,77.217
13,648,333,69.369,74.386
14,705,333,73.196,74.518
15,764,330,289.81,69.827
16,828,328,59.361,60.874
17,890,326,57.992,59.919
18,951,324,75.323,62.317
19,463,403,67.55,73.016
20,521,400,57.619,70.98
21,584,398,117.03,72.547
22,647,395,70.649,77.112
23,707,394,67.692,75.819
24,766,390,127.25,70.929
25,829,391,66.153,71.941
26,893,387,66.104,72.99
27,952,385,112.32,68.74
28,464,465,56.174,59.915
29,523,460,57.907,58.384
30,586,458,110.03,65.809
31,648,459,71.256,76.362
32,708,455,70.05,78.768
33,768,453,168.85,78.642
34,830,450,69.456,74.134
35,892,449,63.064,73.297
36,954,446,102.4,77.317
37,465,525,58.98,57.927
38,525,523,60.705,60.451
39,587,520,173.87,69.217
40,650,518,64.974,68.339
41,710,515,73.968,77.469
42,768,514,194.7,82.97
43,833,512,71.401,75.439
44,894,510,67.405,77.358
45,954,507,146.22,76.799
46,467,586,58.341,58.48
47,526,584,60.723,60.953
48,589,581,193.82,65.482
49,651,578,59.097,60.896
50,711,576,60.323,65.825
51,771,574,238.86,76.78
52,832,570,60.409,69.579
53,897,570,59.959,68.313
54,956,568,79.917,66.909
55,468,647,58.638,59.152
56,527,645,61.864,63.171
57,590,641,217.53,68.789
58,653,640,63.181,63.732
59,713,637,62.214,62.524
60,772,634,202.27,63.675
61,835,633,57.586,57.734
62,898,632,57.996,57.789
63,957,629,115.71,58.075
64,468,708,80.722,61.967
65,528,706,67.953,65.526
66,591,703,220.79,72.49
67,653,699,65.722,66.358
68,714,698,65.414,65.636
69,773,697,113.66,66.579
70,835,694,61.951,61.348
71,898,694,63.972,60.415
72,959,690,119.71,60.293
73,466,764,61.449,62.344
74,531,766,63.329,64.366
75,594,763,166.27,67.112
76,655,760,63.906,63.974
77,715,758,64.096,64.882
78,776,757,218.07,67.917
79,836,755,62.814,62.752
80,901,755,60.656,61.012
81,960,751,195.4,61.907
