index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,129.67,135.42
2,518,277,1386.6,144.57
3,581,274,131.56,136.59
4,643,273,132.56,138.55
5,705,272,426.78,150.58
6,762,271,141.44,137.26
7,826,268,139.22,139.78
8,888,266,900.44,159.23
9,949,264,132.89,138.64
10,461,342,132.78,135.52
11,520,336,1019.3,149.81
12,581,334,137.22,141.52
13,648,333,146.44,147.04
14,705,333,1276.2,164.72
15,764,330,150.44,147.31
16,828,328,141.67,143.85
17,890,326,808.33,150.78
18,951,324,141.89,142.92
19,463,403,154,139.55
20,521,400,1864.4,171.6
21,584,398,151.22,147.36
22,647,395,154.11,148.87
23,707,394,264.78,157.91
24,766,390,150.44,152.68
25,829,391,155.89,152.49
26,893,387,641.33,160.81
27,952,385,163,149.51
28,464,465,123.11,129.77
29,523,460,356.11,141.73
30,586,458,140.11,142.66
31,648,459,168.56,151.12
32,708,455,359,157.52
33,768,453,155.78,156.07
34,830,450,159.44,157.06
35,892,449,1140.7,164.8
36,954,446,147.22,152.6
37,465,525,134.22,133.61
38,525,523,374.89,142.21
39,587,520,140.56,137.58
40,650,518,153.56,151.25
41,710,515,272.33,163.98
42,768,514,164.11,161.57
43,833,512,165.89,161.27
44,894,510,922,166.52
45,954,507,158.78,158.05
46,467,586,143.11,139.54
47,526,584,598.67,148.69
48,589,581,148.56,140.25
49,651,578,137,142.12
50,711,576,381,162.41
51,771,574,168.78,158.28
52,832,570,155.67,156.09
53,897,570,312.11,167.58
54,956,568,160.11,153.04
55,468,647,149.33,145.87
56,527,645,847.33,159.06
57,590,641,145.56,146.95
58,653,640,146.11,146.17
59,713,637,515.44,155.96
60,772,634,150.11,146.52
61,835,633,151.11,155.67
62,898,632,2244.8,191.02
63,957,629,152.89,156.63
64,468,708,152.22,153.5
65,528,706,1763.4,181.41
66,591,703,156.22,155.97
67,653,699,156.78,152.44
68,714,698,604.44,158.14
69,773,697,161.56,155.52
70,835,694,161.67,160.05
71,898,694,687.33,187.22
72,959,690,158.67,159.31
73,466,764,160.11,152.52
74,531,766,541.78,168.83
75,594,763,171.78,159.59
76,655,760,161.56,159.35
77,715,758,317.22,163.48
78,776,757,181.78,161.92
79,836,755,200.11,164.93
80,901,755,859,183.52
81,960,751,176.11,163.3
