index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,128.22,135.42
2,518,277,672.19,144.57
3,581,274,131.61,136.59
4,643,273,131.36,138.55
5,705,272,418.84,150.58
6,762,271,140.99,137.26
7,826,268,140.45,139.78
8,888,266,1099.2,159.23
9,949,264,137.16,138.64
10,461,342,133.57,135.52
11,520,336,480.07,149.81
12,581,334,136,141.52
13,648,333,143.53,147.04
14,705,333,1003,164.72
15,764,330,152,147.31
16,828,328,141.28,143.85
17,890,326,377.31,150.78
18,951,324,141.13,142.92
19,463,403,144.91,139.55
20,521,400,1065.5,171.6
21,584,398,142.94,147.36
22,647,395,145.71,148.87
23,707,394,357.59,157.91
24,766,390,152.27,152.68
25,829,391,156.9,152.49
26,893,387,475.18,160.81
27,952,385,152.71,149.51
28,464,465,126.39,129.77
29,523,460,282.07,141.73
30,586,458,139.81,142.66
31,648,459,152.93,151.12
32,708,455,272.4,157.52
33,768,453,151.27,156.07
34,830,450,152.24,157.06
35,892,449,463.94,164.8
36,954,446,146.88,152.6
37,465,525,134.88,133.61
38,525,523,341.28,142.21
39,587,520,139.49,137.58
40,650,518,153.49,151.25
41,710,515,348.79,163.98
42,768,514,160.21,161.57
43,833,512,158.34,161.27
44,894,510,390.18,166.52
45,954,507,154.35,158.05
46,467,586,142.49,139.54
47,526,584,411.98,148.69
48,589,581,146.41,140.25
49,651,578,138.48,142.12
50,711,576,606.42,162.41
51,771,574,170.2,158.28
52,832,570,157.31,156.09
53,897,570,326.88,167.58
54,956,568,154.04,153.04
55,468,647,147.34,145.87
56,527,645,434.44,159.06
57,590,641,146.74,146.95
58,653,640,148.94,146.17
59,713,637,655.99,155.96
60,772,634,149.47,146.52
61,835,633,156.47,155.67
62,898,632,1837,191.02
63,957,629,153.74,156.63
64,468,708,153.41,153.5
65,528,706,1170.6,181.41
66,591,703,157.51,155.97
67,653,699,154.32,152.44
68,714,698,365.26,158.14
69,773,697,159.81,155.52
70,835,694,161.43,160.05
71,898,694,1211.3,187.22
72,959,690,159.34,159.31
73,466,764,160.04,152.52
74,531,766,511.32,168.83
75,594,763,167.31,159.59
76,655,760,160.46,159.35
77,715,758,324.15,163.48
78,776,757,187.55,161.92
79,836,755,201.01,164.93
80,901,755,955.79,183.52
81,960,751,176.6,163.3
