index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,171.11,132.56
2,518,277,148.89,132.34
3,581,274,136.22,132.43
4,643,273,136.22,133.36
5,705,272,140.33,133.82
6,762,271,142.67,134.41
7,826,268,164.22,134.41
8,888,266,141.22,132.16
9,949,264,138.44,131.21
10,461,342,149.22,133.95
11,520,336,149.44,133.99
12,581,334,136.11,133.99
13,648,333,141.78,134.04
14,705,333,160.56,135.2
15,764,330,177,135.23
16,828,328,139.11,133.7
17,890,326,136.11,133.1
18,951,324,142.56,131.89
19,463,403,152.78,136.05
20,521,400,156.67,133.34
21,584,398,141.56,134.39
22,647,395,142,134.88
23,707,394,137.67,134.86
24,766,390,139.22,134.84
25,829,391,142.44,135.23
26,893,387,142.78,134.73
27,952,385,156.11,134.13
28,464,465,149.67,134.57
29,523,460,141.89,133.58
30,586,458,151.89,134.77
31,648,459,180.56,135.02
32,708,455,138.44,134.83
33,768,453,137.33,134.92
34,830,450,160.67,135.44
35,892,449,157.33,135.54
36,954,446,138.11,134.74
37,465,525,144.22,133.85
38,525,523,134.44,134.17
39,587,520,143.67,134.9
40,650,518,142.78,135.29
41,710,515,136,135.2
42,768,514,139.11,136.07
43,833,512,149,136.57
44,894,510,140.11,136.07
45,954,507,146.89,135.22
46,467,586,139.89,138.34
47,526,584,145.78,137.43
48,589,581,151.22,139.14
49,651,578,140.44,137.49
50,711,576,144.89,138.05
51,771,574,146.11,139.39
52,832,570,148.11,140.32
53,897,570,146.67,141.77
54,956,568,146.56,138.09
55,468,647,1492.2,151.9
56,527,645,442.11,148.98
57,590,641,648.78,153.38
58,653,640,363.67,144.48
59,713,637,332.56,147.02
60,772,634,492,150.58
61,835,633,510.56,154.82
62,898,632,1001.6,159.37
63,957,629,236.67,145.45
64,468,708,547.56,148.16
65,528,706,979.89,160.14
66,591,703,827.78,157.01
67,653,699,217,141.76
68,714,698,314.33,143.19
69,773,697,279.56,145.99
70,835,694,278.22,151.41
71,898,694,461.67,154.76
72,959,690,388,146.6
73,466,764,257.56,140.65
74,531,766,337.44,145.22
75,594,763,369.44,145.99
76,655,760,167.33,138.95
77,715,758,205.11,141.14
78,776,757,363.67,150.04
79,836,755,381.44,153.44
80,901,755,571.22,151.46
81,960,751,566.33,147.94
