index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,155.67,132.56
2,518,277,138.16,132.34
3,581,274,135.33,132.43
4,643,273,135.1,133.36
5,705,272,137.56,133.82
6,762,271,143.91,134.41
7,826,268,169.53,134.41
8,888,266,141.1,132.16
9,949,264,134.06,131.21
10,461,342,143.32,133.95
11,520,336,139.69,133.99
12,581,334,134.51,133.99
13,648,333,136.05,134.04
14,705,333,148.67,135.2
15,764,330,166.06,135.23
16,828,328,136.15,133.7
17,890,326,134.75,133.1
18,951,324,136.61,131.89
19,463,403,146.65,136.05
20,521,400,141.51,133.34
21,584,398,137.97,134.39
22,647,395,137.96,134.88
23,707,394,137.92,134.86
24,766,390,139.97,134.84
25,829,391,153.5,135.23
26,893,387,139.85,134.73
27,952,385,144.35,134.13
28,464,465,145.3,134.57
29,523,460,137.15,133.58
30,586,458,144.79,134.77
31,648,459,149.95,135.02
32,708,455,135.97,134.83
33,768,453,139,134.92
34,830,450,148.18,135.44
35,892,449,140.87,135.54
36,954,446,144.27,134.74
37,465,525,143.99,133.85
38,525,523,135.8,134.17
39,587,520,140.87,134.9
40,650,518,138.89,135.29
41,710,515,137.32,135.2
42,768,514,139.27,136.07
43,833,512,142.36,136.57
44,894,510,139.53,136.07
45,954,507,144.15,135.22
46,467,586,138.81,138.34
47,526,584,140.5,137.43
48,589,581,146.46,139.14
49,651,578,138.48,137.49
50,711,576,141.66,138.05
51,771,574,147.52,139.39
52,832,570,142.17,140.32
53,897,570,144.51,141.77
54,956,568,143.72,138.09
55,468,647,754.32,151.9
56,527,645,269.24,148.98
57,590,641,534.62,153.38
58,653,640,290.23,144.48
59,713,637,390.65,147.02
60,772,634,491.09,150.58
61,835,633,596.99,154.82
62,898,632,821.77,159.37
63,957,629,287.93,145.45
64,468,708,355.76,148.16
65,528,706,607.02,160.14
66,591,703,490.17,157.01
67,653,699,193.4,141.76
68,714,698,217.59,143.19
69,773,697,240.6,145.99
70,835,694,281.59,151.41
71,898,694,568.11,154.76
72,959,690,282.46,146.6
73,466,764,283.26,140.65
74,531,766,311.65,145.22
75,594,763,402.13,145.99
76,655,760,168.4,138.95
77,715,758,209.62,141.14
78,776,757,553.11,150.04
79,836,755,649.4,153.44
80,901,755,487.43,151.46
81,960,751,504.54,147.94
