index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,51.889,46.368
2,518,277,49.778,46.866
3,581,274,46.556,46.514
4,643,273,48.778,46.955
5,705,272,49.667,47.154
6,762,271,49,47.396
7,826,268,51,46.805
8,888,266,49.667,46.677
9,949,264,49.222,46.333
10,461,342,54,46.348
11,520,336,51.444,46.398
12,581,334,47.222,46.285
13,648,333,47.444,47.112
14,705,333,56.889,46.783
15,764,330,50.111,46.789
16,828,328,47.111,46.555
17,890,326,49.778,46.49
18,951,324,47.333,46.272
19,463,403,48.778,47.23
20,521,400,48.778,46.657
21,584,398,46.556,46.738
22,647,395,47.556,47.64
23,707,394,48.444,47.079
24,766,390,48.444,47.585
25,829,391,49.333,48.374
26,893,387,50.222,47.181
27,952,385,50,46.65
28,464,465,211.56,52.441
29,523,460,120.44,49.63
30,586,458,148.33,51.533
31,648,459,982.44,54.917
32,708,455,124,50.516
33,768,453,78.889,53.555
34,830,450,349.89,55.803
35,892,449,265.44,51.11
36,954,446,70.333,49.049
37,465,525,133.67,50.362
38,525,523,123.44,50.49
39,587,520,179,65.713
40,650,518,193.44,52.449
41,710,515,77.667,50.817
42,768,514,201.22,54.364
43,833,512,252.89,63.309
44,894,510,225.67,50.169
45,954,507,118.78,50.53
46,467,586,151.33,47.986
47,526,584,172.67,49.238
48,589,581,275.44,54.301
49,651,578,70.889,49.116
50,711,576,121.67,51.254
51,771,574,165.33,54.703
52,832,570,122.89,50.793
53,897,570,77.778,48.311
54,956,568,123.89,47.844
55,468,647,46.333,45.366
56,527,645,43.889,45.701
57,590,641,45.667,46.303
58,653,640,45.667,45.923
59,713,637,46.444,46.453
60,772,634,47.333,46.882
61,835,633,47.444,46.189
62,898,632,47.667,45.63
63,957,629,46.556,45.419
64,468,708,45.444,44.843
65,528,706,50.778,45.181
66,591,703,48.222,45.093
67,653,699,44.778,45.242
68,714,698,46.222,45.228
69,773,697,44.889,45.264
70,835,694,47.444,45.232
71,898,694,47.111,45.303
72,959,690,44,44.949
73,466,764,44.667,44.799
74,531,766,45.333,44.896
75,594,763,46.333,44.683
76,655,760,44,44.659
77,715,758,46.556,44.797
78,776,757,45.778,44.73
79,836,755,47.444,44.644
80,901,755,47.444,44.815
81,960,751,47.111,44.837
