index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,51.249,46.368
2,518,277,48.627,46.866
3,581,274,47.066,46.514
4,643,273,47.331,46.955
5,705,272,48.572,47.154
6,762,271,49.91,47.396
7,826,268,52.942,46.805
8,888,266,51.809,46.677
9,949,264,47.214,46.333
10,461,342,50.966,46.348
11,520,336,48.547,46.398
12,581,334,46.645,46.285
13,648,333,46.923,47.112
14,705,333,52.469,46.783
15,764,330,54.065,46.789
16,828,328,48.014,46.555
17,890,326,48.265,46.49
18,951,324,47.047,46.272
19,463,403,49.402,47.23
20,521,400,48.722,46.657
21,584,398,47.215,46.738
22,647,395,47.173,47.64
23,707,394,47.319,47.079
24,766,390,48.156,47.585
25,829,391,52.793,48.374
26,893,387,50.535,47.181
27,952,385,48.246,46.65
28,464,465,251.43,52.441
29,523,460,98.916,49.63
30,586,458,131.34,51.533
31,648,459,332.2,54.917
32,708,455,86.889,50.516
33,768,453,193.42,53.555
34,830,450,311.29,55.803
35,892,449,139.25,51.11
36,954,446,108.17,49.049
37,465,525,162.99,50.362
38,525,523,112.74,50.49
39,587,520,226.14,65.713
40,650,518,151.39,52.449
41,710,515,103.78,50.817
42,768,514,216.07,54.364
43,833,512,217.72,63.309
44,894,510,111.48,50.169
45,954,507,193.43,50.53
46,467,586,105.58,47.986
47,526,584,124.38,49.238
48,589,581,233.46,54.301
49,651,578,78.989,49.116
50,711,576,167.73,51.254
51,771,574,316.52,54.703
52,832,570,147.29,50.793
53,897,570,93.411,48.311
54,956,568,88.312,47.844
55,468,647,45.136,45.366
56,527,645,45.325,45.701
57,590,641,45.898,46.303
58,653,640,45.624,45.923
59,713,637,45.813,46.453
60,772,634,46.284,46.882
61,835,633,47.463,46.189
62,898,632,48.308,45.63
63,957,629,45.91,45.419
64,468,708,45.637,44.843
65,528,706,46.852,45.181
66,591,703,46.873,45.093
67,653,699,45.07,45.242
68,714,698,45.273,45.228
69,773,697,45.948,45.264
70,835,694,47.111,45.232
71,898,694,50.656,45.303
72,959,690,47.18,44.949
73,466,764,45.047,44.799
74,531,766,44.88,44.896
75,594,763,46.093,44.683
76,655,760,44.521,44.659
77,715,758,44.797,44.797
78,776,757,45.269,44.73
79,836,755,47.683,44.644
80,901,755,46.072,44.815
81,960,751,47.268,44.837
