index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,548.78,64.49
2,518,277,331.67,60.917
3,581,274,80.889,57.226
4,643,273,78.556,57.307
5,705,272,126.89,61.843
6,762,271,151.33,65.535
7,826,268,223.33,64.585
8,888,266,279.67,63.197
9,949,264,84.667,56.62
10,461,342,254.89,62.429
11,520,336,242.67,60.516
12,581,334,72.556,56.907
13,648,333,87.111,58.508
14,705,333,367.67,65.518
15,764,330,278.33,68.679
16,828,328,79.222,61.23
17,890,326,148.78,58.406
18,951,324,93.333,55.821
19,463,403,237.33,62.219
20,521,400,387.33,64.413
21,584,398,143.22,58.898
22,647,395,86.333,58.108
23,707,394,75.333,58.892
24,766,390,98.667,61.248
25,829,391,151.22,62.14
26,893,387,122.78,58.411
27,952,385,217.89,57.175
28,464,465,60,57.608
29,523,460,56.444,58.752
30,586,458,60.222,58.191
31,648,459,75.333,57.154
32,708,455,58.111,56.496
33,768,453,59,56.049
34,830,450,60.333,56.537
35,892,449,60.222,55.681
36,954,446,56,55.024
37,465,525,58.444,56.352
38,525,523,57.111,57.632
39,587,520,60.444,58.711
40,650,518,59.778,57.844
41,710,515,56.778,56.909
42,768,514,65,55.624
43,833,512,63.444,55.157
44,894,510,56.889,54.535
45,954,507,61.667,54.736
46,467,586,54,56.1
47,526,584,59.556,57.929
48,589,581,66.778,59.612
49,651,578,58.333,58.331
50,711,576,54,57.715
51,771,574,63.556,57.024
52,832,570,58.333,56.516
53,897,570,55.444,55.579
54,956,568,57.222,55.591
55,468,647,53.333,56.783
56,527,645,54.778,58.262
57,590,641,69.222,58.589
58,653,640,55.222,57.957
59,713,637,55.889,58.203
60,772,634,61.667,58.173
61,835,633,55.889,56.809
62,898,632,57.111,56.748
63,957,629,55.111,55.443
64,468,708,54.778,56.697
65,528,706,56.889,58.012
66,591,703,75.667,57.512
67,653,699,56.556,57.378
68,714,698,57,57.264
69,773,697,59,57.077
70,835,694,60.333,57.703
71,898,694,111.44,58.018
72,959,690,57.556,55.764
73,466,764,64.778,55.118
74,531,766,53.778,56.356
75,594,763,60.778,56.281
76,655,760,52.111,55.949
77,715,758,56.889,56.563
78,776,757,63,56.531
79,836,755,70.222,56.825
80,901,755,56.556,55.085
81,960,751,68.778,54.474
