index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,364.16,64.49
2,518,277,183.16,60.917
3,581,274,87.552,57.226
4,643,273,90.141,57.307
5,705,272,146.5,61.843
6,762,271,219.88,65.535
7,826,268,305.86,64.585
8,888,266,299.3,63.197
9,949,264,87.178,56.62
10,461,342,207.72,62.429
11,520,336,136.6,60.516
12,581,334,72.949,56.907
13,648,333,81.698,58.508
14,705,333,311,65.518
15,764,330,367.21,68.679
16,828,328,93.034,61.23
17,890,326,101.92,58.406
18,951,324,80.224,55.821
19,463,403,230.18,62.219
20,521,400,223.12,64.413
21,584,398,113.99,58.898
22,647,395,88.664,58.108
23,707,394,102.19,58.892
24,766,390,136.02,61.248
25,829,391,269.36,62.14
26,893,387,126.32,58.411
27,952,385,137.9,57.175
28,464,465,60.102,57.608
29,523,460,57.919,58.752
30,586,458,59.878,58.191
31,648,459,62.506,57.154
32,708,455,56.705,56.496
33,768,453,61.963,56.049
34,830,450,60.556,56.537
35,892,449,57.016,55.681
36,954,446,57.862,55.024
37,465,525,57.718,56.352
38,525,523,56.495,57.632
39,587,520,64.807,58.711
40,650,518,59.394,57.844
41,710,515,56.92,56.909
42,768,514,63.276,55.624
43,833,512,58.181,55.157
44,894,510,55.018,54.535
45,954,507,60.344,54.736
46,467,586,55.596,56.1
47,526,584,58.823,57.929
48,589,581,68.365,59.612
49,651,578,58.235,58.331
50,711,576,57.494,57.715
51,771,574,69.23,57.024
52,832,570,57.321,56.516
53,897,570,55.429,55.579
54,956,568,56.528,55.591
55,468,647,54.553,56.783
56,527,645,55.499,58.262
57,590,641,64.928,58.589
58,653,640,56.417,57.957
59,713,637,56.032,58.203
60,772,634,65.618,58.173
61,835,633,56.112,56.809
62,898,632,56.669,56.748
63,957,629,58.142,55.443
64,468,708,55.943,56.697
65,528,706,56.745,58.012
66,591,703,66.033,57.512
67,653,699,56.572,57.378
68,714,698,56.266,57.264
69,773,697,57.72,57.077
70,835,694,59.028,57.703
71,898,694,97.902,58.018
72,959,690,58.559,55.764
73,466,764,62.619,55.118
74,531,766,54.523,56.356
75,594,763,60.3,56.281
76,655,760,54.258,55.949
77,715,758,56.119,56.563
78,776,757,65.75,56.531
79,836,755,64.228,56.825
80,901,755,55.831,55.085
81,960,751,64.257,54.474
