index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,111.22,113.1
2,518,277,119.11,115.31
3,581,274,115.44,117.09
4,643,273,119.78,118.73
5,705,272,122.22,121.5
6,762,271,121.44,122.91
7,826,268,124.44,123.48
8,888,266,127.11,124.14
9,949,264,123.33,123.83
10,461,342,117,116.66
11,520,336,124.11,118.2
12,581,334,123.56,121.18
13,648,333,121.22,123.35
14,705,333,140.56,125.63
15,764,330,133.67,127.05
16,828,328,128.44,128.54
17,890,326,128.67,128.73
18,951,324,125,127.86
19,463,403,131.33,120.3
20,521,400,131.11,121.01
21,584,398,130,124.44
22,647,395,124.44,127.45
23,707,394,130.89,129.96
24,766,390,133.22,131.91
25,829,391,137.78,133.56
26,893,387,136.89,133.96
27,952,385,140.22,133.27
28,464,465,135.89,122.51
29,523,460,129.22,123.89
30,586,458,138.22,127.01
31,648,459,238.33,131.65
32,708,455,146.44,133.66
33,768,453,139.78,135.64
34,830,450,175.89,137.56
35,892,449,172.22,137.84
36,954,446,134.78,135.69
37,465,525,131.56,123.5
38,525,523,135.67,126.97
39,587,520,136.56,131.58
40,650,518,151.33,134.09
41,710,515,139.11,136.12
42,768,514,157.67,138.15
43,833,512,165.44,142.38
44,894,510,166.56,140.01
45,954,507,147.78,138.85
46,467,586,139.67,125.39
47,526,584,146.89,129.25
48,589,581,163.56,134.04
49,651,578,145.44,136.44
50,711,576,147.89,139.34
51,771,574,158.33,141.41
52,832,570,149.89,142.23
53,897,570,141.56,142.6
54,956,568,167.67,141.75
55,468,647,133.67,126.89
56,527,645,134.78,130.44
57,590,641,133.78,134.33
58,653,640,137.11,137.87
59,713,637,144.22,140.19
60,772,634,139.44,142.14
61,835,633,141.89,143.59
62,898,632,165.22,144.67
63,957,629,144,144.41
64,468,708,130.33,129.31
65,528,706,145.22,131.96
66,591,703,143.67,134.85
67,653,699,139.22,138.99
68,714,698,149.44,141.83
69,773,697,144,143.46
70,835,694,149.44,146.57
71,898,694,153.44,146.91
72,959,690,147.22,147.19
73,466,764,127.44,129.5
74,531,766,132.56,132.71
75,594,763,143.67,135.51
76,655,760,138.56,138.5
77,715,758,137.11,141.77
78,776,757,156.89,144.2
79,836,755,173.22,146.05
80,901,755,177,146.98
81,960,751,156.78,147.17
