index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,107.4,113.1
2,518,277,111.81,115.31
3,581,274,110.34,117.09
4,643,273,112.61,118.73
5,705,272,116.05,121.5
6,762,271,116.56,122.91
7,826,268,117.2,123.48
8,888,266,121.14,124.14
9,949,264,115.25,123.83
10,461,342,111.68,116.66
11,520,336,114.37,118.2
12,581,334,113.55,121.18
13,648,333,116.59,123.35
14,705,333,126.6,125.63
15,764,330,123.42,127.05
16,828,328,120.06,128.54
17,890,326,122.68,128.73
18,951,324,119.07,127.86
19,463,403,122.41,120.3
20,521,400,123.21,121.01
21,584,398,118.81,124.44
22,647,395,121.37,127.45
23,707,394,125.32,129.96
24,766,390,126.9,131.91
25,829,391,132.08,133.56
26,893,387,130.77,133.96
27,952,385,131.49,133.27
28,464,465,134.49,122.51
29,523,460,123.13,123.89
30,586,458,128.55,127.01
31,648,459,155.42,131.65
32,708,455,130.02,133.66
33,768,453,144.09,135.64
34,830,450,158.49,137.56
35,892,449,141.99,137.84
36,954,446,133.68,135.69
37,465,525,128.95,123.5
38,525,523,128.02,126.97
39,587,520,141.58,131.58
40,650,518,138.32,134.09
41,710,515,136.44,136.12
42,768,514,150.96,138.15
43,833,512,147.86,142.38
44,894,510,137.97,140.01
45,954,507,142.42,138.85
46,467,586,126.54,125.39
47,526,584,134.21,129.25
48,589,581,148.14,134.04
49,651,578,133.13,136.44
50,711,576,151.53,139.34
51,771,574,172,141.41
52,832,570,147.19,142.23
53,897,570,141.15,142.6
54,956,568,143.89,141.75
55,468,647,120.14,126.89
56,527,645,124.71,130.44
57,590,641,124.51,134.33
58,653,640,130.21,137.87
59,713,637,137.06,140.19
60,772,634,133.29,142.14
61,835,633,135.57,143.59
62,898,632,151.39,144.67
63,957,629,135.54,144.41
64,468,708,122.45,129.31
65,528,706,132.75,131.96
66,591,703,127.16,134.85
67,653,699,131.21,138.99
68,714,698,136.69,141.83
69,773,697,135.63,143.46
70,835,694,140.28,146.57
71,898,694,153.62,146.91
72,959,690,139.65,147.19
73,466,764,127.47,129.5
74,531,766,131.8,132.71
75,594,763,135.5,135.51
76,655,760,130.14,138.5
77,715,758,137.39,141.77
78,776,757,157.9,144.2
79,836,755,167.35,146.05
80,901,755,159.29,146.98
81,960,751,150.51,147.17
