index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,166.78,132
2,518,277,143,132.77
3,581,274,137.78,132.67
4,643,273,135.67,134.21
5,705,272,138.11,134.34
6,762,271,136.67,133.45
7,826,268,151.33,136.65
8,888,266,141.33,140.2
9,949,264,133.89,130.57
10,461,342,143.11,132.59
11,520,336,143.22,133.05
12,581,334,136.67,133.84
13,648,333,138.89,134.48
14,705,333,149,134.78
15,764,330,155.56,134.62
16,828,328,172.33,160.96
17,890,326,183.67,174.9
18,951,324,144.44,139.39
19,463,403,144.56,132.75
20,521,400,151.78,133.26
21,584,398,141.22,134.44
22,647,395,139.67,135.2
23,707,394,134.56,135.28
24,766,390,140.67,135.6
25,829,391,131.11,138.36
26,893,387,164.67,143.33
27,952,385,139.11,134.41
28,464,465,141.78,132.54
29,523,460,141.56,133.33
30,586,458,150.67,134.75
31,648,459,185,135.37
32,708,455,139.22,135.94
33,768,453,137.33,135.81
34,830,450,155.78,136.58
35,892,449,150.89,134.81
36,954,446,137.78,132.97
37,465,525,147.11,133.57
38,525,523,135.67,133.71
39,587,520,145.67,135.56
40,650,518,143.11,135.34
41,710,515,140.67,135.37
42,768,514,138.78,136.79
43,833,512,137.33,135.94
44,894,510,146.67,134.13
45,954,507,139.67,132.94
46,467,586,134.89,134.3
47,526,584,138.11,135.05
48,589,581,146.56,136.22
49,651,578,135,135.12
50,711,576,136.56,136.13
51,771,574,141.67,136.19
52,832,570,140.56,136.43
53,897,570,136.22,134.35
54,956,568,140.67,132.96
55,468,647,192,134.89
56,527,645,143.22,135.55
57,590,641,156.33,136.3
58,653,640,141.44,136.09
59,713,637,146,136.72
60,772,634,150.67,136.63
61,835,633,142.11,137.4
62,898,632,175.89,135.32
63,957,629,136,132.75
64,468,708,150.78,135.13
65,528,706,155.33,135.62
66,591,703,158,136.57
67,653,699,143.33,135.67
68,714,698,141.89,136.17
69,773,697,147.22,136.78
70,835,694,143.89,136.27
71,898,694,139.33,135.63
72,959,690,144.44,133.83
73,466,764,145.33,135.16
74,531,766,146.44,135.32
75,594,763,139.33,135.31
76,655,760,125.67,139.88
77,715,758,170.44,156.23
78,776,757,171.11,155.2
79,836,755,126.22,142.43
80,901,755,145.44,135.79
81,960,751,141.67,133.48
