index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,152.58,132
2,518,277,137.52,132.77
3,581,274,135.43,132.67
4,643,273,135.84,134.21
5,705,272,137.9,134.34
6,762,271,142.53,133.45
7,826,268,162.23,136.65
8,888,266,145.75,140.2
9,949,264,133.14,130.57
10,461,342,141.1,132.59
11,520,336,138.84,133.05
12,581,334,134.44,133.84
13,648,333,136.51,134.48
14,705,333,147.31,134.78
15,764,330,162.19,134.62
16,828,328,172.18,160.96
17,890,326,182.25,174.9
18,951,324,142.3,139.39
19,463,403,141.4,132.75
20,521,400,139.77,133.26
21,584,398,137.9,134.44
22,647,395,137.68,135.2
23,707,394,137.98,135.28
24,766,390,139.49,135.6
25,829,391,146.74,138.36
26,893,387,157.88,143.33
27,952,385,136.63,134.41
28,464,465,145.03,132.54
29,523,460,138.39,133.33
30,586,458,145.21,134.75
31,648,459,149.5,135.37
32,708,455,136.99,135.94
33,768,453,140.23,135.81
34,830,450,147.34,136.58
35,892,449,140.52,134.81
36,954,446,142.5,132.97
37,465,525,143.78,133.57
38,525,523,135.36,133.71
39,587,520,140.44,135.56
40,650,518,138.24,135.34
41,710,515,137.71,135.37
42,768,514,139.7,136.79
43,833,512,140.96,135.94
44,894,510,137.97,134.13
45,954,507,142.43,132.94
46,467,586,136.48,134.3
47,526,584,137.5,135.05
48,589,581,143.31,136.22
49,651,578,136.65,135.12
50,711,576,140.49,136.13
51,771,574,144.42,136.19
52,832,570,138.56,136.43
53,897,570,138.12,134.35
54,956,568,137.86,132.96
55,468,647,162.76,134.89
56,527,645,139.41,135.55
57,590,641,150.88,136.3
58,653,640,140.64,136.09
59,713,637,146.9,136.72
60,772,634,149.43,136.63
61,835,633,157.21,137.4
62,898,632,168.17,135.32
63,957,629,137.63,132.75
64,468,708,143.73,135.13
65,528,706,145.19,135.62
66,591,703,145.72,136.57
67,653,699,138.47,135.67
68,714,698,138.84,136.17
69,773,697,142.18,136.78
70,835,694,139.86,136.27
71,898,694,147.15,135.63
72,959,690,140.94,133.83
73,466,764,143.49,135.16
74,531,766,143.21,135.32
75,594,763,140.06,135.31
76,655,760,129.81,139.88
77,715,758,168,156.23
78,776,757,175,155.2
79,836,755,141.01,142.43
80,901,755,141.35,135.79
81,960,751,142.93,133.48
