index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,55.222,48.415
2,518,277,52.667,47.707
3,581,274,47.889,47.12
4,643,273,48.333,47.561
5,705,272,50.222,49.439
6,762,271,52.444,49.886
7,826,268,52,47.783
8,888,266,49.889,47.476
9,949,264,46.556,46.754
10,461,342,352.56,52.27
11,520,336,337.22,50.39
12,581,334,68.667,47.77
13,648,333,104.11,49.297
14,705,333,430.44,55.791
15,764,330,324.56,58.409
16,828,328,91.889,50.937
17,890,326,245.11,51.189
18,951,324,144.67,48.065
19,463,403,47.222,46.925
20,521,400,51,46.614
21,584,398,50.444,46.402
22,647,395,47.556,46.703
23,707,394,46.778,48.033
24,766,390,48.444,48.819
25,829,391,47.778,47.465
26,893,387,50.556,47.463
27,952,385,51.556,46.722
28,464,465,49.111,46.378
29,523,460,48.889,46.565
30,586,458,52.111,47.331
31,648,459,61.333,47.163
32,708,455,46.333,47.167
33,768,453,49.667,48.079
34,830,450,54.556,48.189
35,892,449,53,46.766
36,954,446,49.556,47.248
37,465,525,142.11,48.606
38,525,523,135.78,49.504
39,587,520,234.44,67.348
40,650,518,183.89,49.732
41,710,515,87,49.03
42,768,514,264.11,52.252
43,833,512,522.44,62.984
44,894,510,194.22,49.474
45,954,507,505.22,52.488
46,467,586,49.222,46.051
47,526,584,49.778,46.683
48,589,581,54,47.545
49,651,578,45,46.459
50,711,576,47.778,46.1
51,771,574,56.111,46.709
52,832,570,51.444,47.039
53,897,570,46.556,46.28
54,956,568,49.222,46.61
55,468,647,56,46.671
56,527,645,49.778,47.925
57,590,641,52.889,47.059
58,653,640,47.556,46.085
59,713,637,46.889,45.961
60,772,634,48.667,46.124
61,835,633,50.111,46.409
62,898,632,55.556,47.014
63,957,629,47.111,45.85
64,468,708,326.22,50.234
65,528,706,450.22,58.002
66,591,703,475.44,57.39
67,653,699,95.111,47.407
68,714,698,160.56,47.215
69,773,697,132,47.913
70,835,694,131.11,49.039
71,898,694,183.22,52.222
72,959,690,102.44,49.541
73,466,764,46.111,45.862
74,531,766,46.667,46.776
75,594,763,50.556,46.348
76,655,760,44.556,44.949
77,715,758,46.111,45.24
78,776,757,49,45.594
79,836,755,56.556,45.315
80,901,755,47,46.287
81,960,751,54.222,45.346
