index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,53.779,48.415
2,518,277,50.3,47.707
3,581,274,48.327,47.12
4,643,273,48.353,47.561
5,705,272,50.952,49.439
6,762,271,54.693,49.886
7,826,268,53.255,47.783
8,888,266,52.156,47.476
9,949,264,48.058,46.754
10,461,342,258.5,52.27
11,520,336,165.86,50.39
12,581,334,69.758,47.77
13,648,333,86.693,49.297
14,705,333,369.8,55.791
15,764,330,460.9,58.409
16,828,328,97.795,50.937
17,890,326,119.66,51.189
18,951,324,92.185,48.065
19,463,403,49.55,46.925
20,521,400,49.201,46.614
21,584,398,48.132,46.402
22,647,395,46.745,46.703
23,707,394,47.992,48.033
24,766,390,50.325,48.819
25,829,391,51.829,47.465
26,893,387,49.739,47.463
27,952,385,47.97,46.722
28,464,465,50.305,46.378
29,523,460,47.799,46.565
30,586,458,50.086,47.331
31,648,459,51.981,47.163
32,708,455,47.517,47.167
33,768,453,52.557,48.079
34,830,450,53.617,48.189
35,892,449,49.198,46.766
36,954,446,50.189,47.248
37,465,525,170.7,48.606
38,525,523,121.14,49.504
39,587,520,267.77,67.348
40,650,518,155.52,49.732
41,710,515,112.54,49.03
42,768,514,239.14,52.252
43,833,512,250.75,62.984
44,894,510,126.67,49.474
45,954,507,333.89,52.488
46,467,586,47.235,46.051
47,526,584,48.567,46.683
48,589,581,54.087,47.545
49,651,578,46.642,46.459
50,711,576,48.63,46.1
51,771,574,58.367,46.709
52,832,570,49.09,47.039
53,897,570,47.032,46.28
54,956,568,47.577,46.61
55,468,647,51.419,46.671
56,527,645,48.514,47.925
57,590,641,51.649,47.059
58,653,640,47.325,46.085
59,713,637,47.952,45.961
60,772,634,50.713,46.124
61,835,633,50.732,46.409
62,898,632,53.213,47.014
63,957,629,48.477,45.85
64,468,708,194.65,50.234
65,528,706,362.19,58.002
66,591,703,268.66,57.39
67,653,699,84.711,47.407
68,714,698,96.664,47.215
69,773,697,120.89,47.913
70,835,694,137.45,49.039
71,898,694,331.4,52.222
72,959,690,181.72,49.541
73,466,764,46.86,45.862
74,531,766,47.171,46.776
75,594,763,50.198,46.348
76,655,760,44.651,44.949
77,715,758,45.657,45.24
78,776,757,51.025,45.594
79,836,755,50.344,45.315
80,901,755,49.084,46.287
81,960,751,50.639,45.346
