index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,714.56,65.228
2,518,277,364,60.638
3,581,274,87.111,54.728
4,643,273,81.444,54.781
5,705,272,104.22,57.656
6,762,271,119.67,61.106
7,826,268,243.11,63.626
8,888,266,258.89,63.711
9,949,264,93.778,56.126
10,461,342,76.444,56.213
11,520,336,74.222,55.128
12,581,334,55.667,53.455
13,648,333,56.889,54.122
14,705,333,79.444,55.144
15,764,330,76,57.311
16,828,328,64.333,58.278
17,890,326,68.667,60.772
18,951,324,56.444,55.293
19,463,403,66.111,54.616
20,521,400,71.222,54.358
21,584,398,60.111,54.185
22,647,395,56.556,54.994
23,707,394,54.222,54.581
24,766,390,56.778,55.406
25,829,391,58.222,56.888
26,893,387,59.667,56.195
27,952,385,57.222,54.736
28,464,465,235.78,59.957
29,523,460,127.78,57.254
30,586,458,179.33,58.768
31,648,459,824.89,62.25
32,708,455,130.44,56.876
33,768,453,96.111,58.835
34,830,450,343.67,60.819
35,892,449,321.78,58.213
36,954,446,164.11,59.022
37,465,525,59.444,55.256
38,525,523,54.111,54.939
39,587,520,58.111,55.591
40,650,518,57,56.378
41,710,515,52.556,55.756
42,768,514,59.444,55.335
43,833,512,62.111,55.604
44,894,510,57.333,55.126
45,954,507,62,54.9
46,467,586,55.667,56.559
47,526,584,56.111,56.606
48,589,581,57.667,58.018
49,651,578,55.111,56.738
50,711,576,54.556,56.581
51,771,574,55.667,56.404
52,832,570,53,56.301
53,897,570,56,55.848
54,956,568,52.222,54.211
55,468,647,894.56,65.524
56,527,645,265.44,62.142
57,590,641,393.78,67.167
58,653,640,198.44,61.409
59,713,637,184.78,62.122
60,772,634,217.56,62.209
61,835,633,222,62.642
62,898,632,606,64.947
63,957,629,91.111,58.142
64,468,708,60.667,56.313
65,528,706,64.111,56.65
66,591,703,64.889,56.77
67,653,699,54.556,56.726
68,714,698,55.444,56.394
69,773,697,56.889,55.996
70,835,694,57.556,55.453
71,898,694,57.667,55.482
72,959,690,52.889,53.888
73,466,764,55.222,53.709
74,531,766,51.222,54.037
75,594,763,54.333,54.506
76,655,760,52,53.998
77,715,758,54.444,55.205
78,776,757,56.667,55.362
79,836,755,60.556,55.26
80,901,755,54,53.354
81,960,751,54.222,52.435
