index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,465.61,65.228
2,518,277,206.96,60.638
3,581,274,94.577,54.728
4,643,273,98.729,54.781
5,705,272,147.25,57.656
6,762,271,217.93,61.106
7,826,268,344.91,63.626
8,888,266,290.6,63.711
9,949,264,103.97,56.126
10,461,342,70.901,56.213
11,520,336,61.511,55.128
12,581,334,54.202,53.455
13,648,333,55.063,54.122
14,705,333,78.635,55.144
15,764,330,90.471,57.311
16,828,328,62.163,58.278
17,890,326,64.161,60.772
18,951,324,55.988,55.293
19,463,403,64.498,54.616
20,521,400,62.877,54.358
21,584,398,56.555,54.185
22,647,395,55.26,54.994
23,707,394,54.927,54.581
24,766,390,57.985,55.406
25,829,391,66.267,56.888
26,893,387,59.84,56.195
27,952,385,55.565,54.736
28,464,465,273.59,59.957
29,523,460,107.3,57.254
30,586,458,156.33,58.768
31,648,459,313.38,62.25
32,708,455,95.916,56.876
33,768,453,198.77,58.835
34,830,450,302.78,60.819
35,892,449,148.8,58.213
36,954,446,218.11,59.022
37,465,525,57.602,55.256
38,525,523,55.118,54.939
39,587,520,58.597,55.591
40,650,518,56.759,56.378
41,710,515,55.11,55.756
42,768,514,59.83,55.335
43,833,512,58.19,55.604
44,894,510,54.851,55.126
45,954,507,59.455,54.9
46,467,586,54.939,56.559
47,526,584,54.457,56.606
48,589,581,56.122,58.018
49,651,578,54.759,56.738
50,711,576,54.382,56.581
51,771,574,55.7,56.404
52,832,570,54.198,56.301
53,897,570,54.39,55.848
54,956,568,52.358,54.211
55,468,647,438.4,65.524
56,527,645,146.53,62.142
57,590,641,312.13,67.167
58,653,640,163.75,61.409
59,713,637,225.13,62.122
60,772,634,286.79,62.209
61,835,633,319.82,62.642
62,898,632,479.08,64.947
63,957,629,168.66,58.142
64,468,708,58.187,56.313
65,528,706,61.809,56.65
66,591,703,60.709,56.77
67,653,699,55.341,56.726
68,714,698,55.215,56.394
69,773,697,55.977,55.996
70,835,694,55.862,55.453
71,898,694,61.063,55.482
72,959,690,55.84,53.888
73,466,764,55.609,53.709
74,531,766,53.579,54.037
75,594,763,54.25,54.506
76,655,760,52.367,53.998
77,715,758,54.518,55.205
78,776,757,56.476,55.362
79,836,755,59.124,55.26
80,901,755,54.4,53.354
81,960,751,52.898,52.435
