index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,111.7,117.51
2,518,277,115.16,118.89
3,581,274,113.66,120.33
4,643,273,114.94,122.36
5,705,272,116.72,123.44
6,762,271,118.74,123.75
7,826,268,106.32,115.69
8,888,266,111.63,119.61
9,949,264,114.36,119.69
10,461,342,147.73,128.32
11,520,336,140.2,128.39
12,581,334,124.02,127.71
13,648,333,127.68,128.24
14,705,333,173.96,132.94
15,764,330,182.07,132.04
16,828,328,127.84,126.47
17,890,326,155.55,141.58
18,951,324,118.48,122.55
19,463,403,1157.4,152.46
20,521,400,986.79,165.82
21,584,398,476.28,143.16
22,647,395,316.21,139.44
23,707,394,419.35,142.47
24,766,390,524.7,150.26
25,829,391,1168.3,154.16
26,893,387,541.32,138.94
27,952,385,639.92,133.45
28,464,465,123.76,132.22
29,523,460,128.25,136.51
30,586,458,129.18,136.2
31,648,459,133.22,137.4
32,708,455,132.22,139.2
33,768,453,134.85,141.59
34,830,450,135.42,143.23
35,892,449,132.71,138.5
36,954,446,129.5,135.83
37,465,525,143.85,133.69
38,525,523,144.02,139.11
39,587,520,169.37,150.97
40,650,518,152.84,142.75
41,710,515,153.21,149.11
42,768,514,182.38,155.35
43,833,512,177.89,153.7
44,894,510,152.07,141.13
45,954,507,181.43,140.32
46,467,586,464.98,141.59
47,526,584,569.29,152.97
48,589,581,1133.5,172.84
49,651,578,315.94,155.01
50,711,576,867.78,172.04
51,771,574,1892.2,193.05
52,832,570,725.51,168.44
53,897,570,390.67,152.94
54,956,568,673.54,150.34
55,468,647,130.96,137.1
56,527,645,134.76,141.18
57,590,641,138.64,148.31
58,653,640,139.81,147.29
59,713,637,148.29,152.37
60,772,634,147.7,157.21
61,835,633,145,153.64
62,898,632,151.39,148.42
63,957,629,133.5,142.71
64,468,708,161.27,141.05
65,528,706,195.04,149.02
66,591,703,183.59,157.92
67,653,699,149.6,149.03
68,714,698,157.44,153.63
69,773,697,173.65,164.6
70,835,694,176.58,166.68
71,898,694,373.17,164.55
72,959,690,174.26,156.21
73,466,764,685.95,154.05
74,531,766,689.2,163.67
75,594,763,1220,175.25
76,655,760,219.73,143.07
77,715,758,396.9,152.99
78,776,757,1791,177.97
79,836,755,2087.3,189.3
80,901,755,1372.4,195.91
81,960,751,1414.9,190.68
